source_dataset,target_dataset,model,family,seed,test_examples,accuracy,precision,recall,f1_score
SKAB,BATADAL,LSTM,DEEP,42,821,0.728380024360536,0.22966507177033493,0.43636363636363634,0.30094043887147337
SKAB,BATADAL,GRU,DEEP,42,821,0.7904993909866017,0.2459016393442623,0.2727272727272727,0.25862068965517243
SKAB,BATADAL,CNN,DEEP,42,821,0.630937880633374,0.21700879765395895,0.6727272727272727,0.328159645232816
BATADAL,SKAB,LSTM,DEEP,42,5491,0.645419777818248,0.0,0.0,0.0
BATADAL,SKAB,GRU,DEEP,42,5491,0.5977053360043708,0.11011904761904762,0.019003595274781716,0.032413491020586944
BATADAL,SKAB,CNN,DEEP,42,5491,0.645419777818248,0.0,0.0,0.0
SKAB,BATADAL,AUTOMATA,AUTOMATA,42,206,0.1407766990291262,0.13658536585365855,1.0,0.24034334763948498
BATADAL,SKAB,AUTOMATA,AUTOMATA,42,1374,0.3544395924308588,0.35396941005098326,1.0,0.5228617536309844
SKAB,BATADAL,LSTM,DEEP,123,821,0.7490864799025578,0.2391304347826087,0.4,0.29931972789115646
SKAB,BATADAL,GRU,DEEP,123,821,0.6760048721071864,0.21323529411764705,0.5272727272727272,0.3036649214659686
SKAB,BATADAL,CNN,DEEP,123,821,0.44945188794153473,0.17115384615384616,0.8090909090909091,0.28253968253968254
BATADAL,SKAB,LSTM,DEEP,123,4363,0.618840247536099,0.0,0.0,0.0
BATADAL,SKAB,GRU,DEEP,123,4363,0.618840247536099,0.0,0.0,0.0
BATADAL,SKAB,CNN,DEEP,123,4363,0.618840247536099,0.0,0.0,0.0
SKAB,BATADAL,AUTOMATA,AUTOMATA,123,206,0.1407766990291262,0.13658536585365855,1.0,0.24034334763948498
BATADAL,SKAB,AUTOMATA,AUTOMATA,123,1092,0.38095238095238093,0.38038496791934007,1.0,0.5511288180610889
SKAB,BATADAL,LSTM,DEEP,2026,821,0.6528623629719854,0.20735785953177258,0.5636363636363636,0.30317848410757947
SKAB,BATADAL,GRU,DEEP,2026,821,0.43118148599269185,0.17486338797814208,0.8727272727272727,0.291350531107739
SKAB,BATADAL,CNN,DEEP,2026,821,0.6991473812423873,0.2490842490842491,0.6181818181818182,0.35509138381201044
BATADAL,SKAB,LSTM,DEEP,2026,3370,0.644807121661721,0.0,0.0,0.0
BATADAL,SKAB,GRU,DEEP,2026,3370,0.644807121661721,0.0,0.0,0.0
BATADAL,SKAB,CNN,DEEP,2026,3370,0.644807121661721,0.0,0.0,0.0
SKAB,BATADAL,AUTOMATA,AUTOMATA,2026,206,0.1407766990291262,0.13658536585365855,1.0,0.24034334763948498
BATADAL,SKAB,AUTOMATA,AUTOMATA,2026,844,0.3566350710900474,0.35587188612099646,1.0,0.5249343832020997
SKAB,BATADAL,LSTM,DEEP,7,821,0.7101096224116931,0.21929824561403508,0.45454545454545453,0.2958579881656805
SKAB,BATADAL,GRU,DEEP,7,821,0.7929354445797807,0.2857142857142857,0.36363636363636365,0.32
SKAB,BATADAL,CNN,DEEP,7,821,0.4701583434835566,0.17564870259481039,0.8,0.28805237315875615
BATADAL,SKAB,LSTM,DEEP,7,4422,0.6243781094527363,0.0,0.0,0.0
BATADAL,SKAB,GRU,DEEP,7,4422,0.6243781094527363,0.0,0.0,0.0
BATADAL,SKAB,CNN,DEEP,7,4422,0.6243781094527363,0.0,0.0,0.0
SKAB,BATADAL,AUTOMATA,AUTOMATA,7,206,0.1407766990291262,0.13658536585365855,1.0,0.24034334763948498
BATADAL,SKAB,AUTOMATA,AUTOMATA,7,1107,0.37669376693766937,0.3755656108597285,1.0,0.5460526315789473
SKAB,BATADAL,LSTM,DEEP,999,821,0.6930572472594397,0.21370967741935484,0.4818181818181818,0.29608938547486036
SKAB,BATADAL,GRU,DEEP,999,821,0.6285018270401949,0.2,0.5909090909090909,0.2988505747126437
SKAB,BATADAL,CNN,DEEP,999,821,0.5639464068209501,0.19607843137254902,0.7272727272727273,0.3088803088803089
BATADAL,SKAB,LSTM,DEEP,999,3387,0.6285798641865958,0.0,0.0,0.0
BATADAL,SKAB,GRU,DEEP,999,3387,0.6327133156185415,0.7916666666666666,0.015103338632750398,0.029641185647425898
BATADAL,SKAB,CNN,DEEP,999,3387,0.6285798641865958,0.0,0.0,0.0
SKAB,BATADAL,AUTOMATA,AUTOMATA,999,206,0.1407766990291262,0.13658536585365855,1.0,0.24034334763948498
BATADAL,SKAB,AUTOMATA,AUTOMATA,999,848,0.3714622641509434,0.3707201889020071,1.0,0.540913006029285
