dataset,model,noise_level,accuracy,precision,recall,f1_score
SKAB,LSTM,0.0,0.6858100558659218,0.7325,0.18404522613065327,0.29417670682730923
SKAB,LSTM,0.05,0.6867039106145252,0.7351485148514851,0.1865577889447236,0.29759519038076154
SKAB,LSTM,0.1,0.6878212290502793,0.7395577395577395,0.18907035175879397,0.30115057528764383
SKAB,LSTM,0.2,0.6875977653631284,0.7400990099009901,0.1878140703517588,0.2995991983967936
SKAB,GRU,0.0,0.6902793296089386,0.7384259259259259,0.20037688442211055,0.31521739130434784
SKAB,GRU,0.05,0.6905027932960894,0.7390300230946882,0.20100502512562815,0.3160493827160494
SKAB,GRU,0.1,0.6902793296089386,0.7384259259259259,0.20037688442211055,0.31521739130434784
SKAB,GRU,0.2,0.6918435754189944,0.7448275862068966,0.20351758793969849,0.31968426245683274
SKAB,CNN,0.0,0.7157541899441341,0.7711864406779662,0.2858040201005025,0.41704857928505956
SKAB,CNN,0.05,0.7139664804469273,0.7671232876712328,0.2814070351758794,0.4117647058823529
SKAB,CNN,0.1,0.7146368715083798,0.766497461928934,0.28454773869346733,0.41502519468621163
SKAB,CNN,0.2,0.7148603351955307,0.7564935064935064,0.292713567839196,0.4221014492753623
SKAB,LSTM,0.0,0.7176575372968158,0.7089084065244667,0.3529044347282948,0.47122602168473726
SKAB,LSTM,0.05,0.7165441995101314,0.6995133819951338,0.3591505309181761,0.4746182418489476
SKAB,LSTM,0.1,0.7165441995101314,0.6961722488038278,0.36352279825109307,0.4776364382437423
SKAB,LSTM,0.2,0.7169895346248052,0.6950354609929078,0.36727045596502184,0.48058847568451163
SKAB,GRU,0.0,0.7189935426408373,0.667324777887463,0.42223610243597753,0.5172149961744453
SKAB,GRU,0.05,0.7183255399688265,0.6624758220502901,0.4278575890068707,0.5199240986717267
SKAB,GRU,0.1,0.7163215319527945,0.6555661274976213,0.43035602748282326,0.5196078431372549
SKAB,GRU,0.2,0.7105321754620352,0.64,0.4297314178638351,0.5142002989536621
SKAB,CNN,0.0,0.7038521487419283,0.6155157715260017,0.4509681449094316,0.5205479452054794
SKAB,CNN,0.05,0.7038521487419283,0.6155157715260017,0.4509681449094316,0.5205479452054794
SKAB,CNN,0.1,0.7047428189712759,0.6172208013640239,0.4522173641474079,0.5219899062725306
SKAB,CNN,0.2,0.7038521487419283,0.6151231945624469,0.4522173641474079,0.5212383009359252
SKAB,LSTM,0.0,0.6308993766696349,0.5020242914979757,0.07474382157926461,0.13011542497376705
SKAB,LSTM,0.05,0.6293410507569012,0.4879032258064516,0.07293550331525014,0.12690089145254327
SKAB,LSTM,0.1,0.6282279608192342,0.47808764940239046,0.07233273056057866,0.1256544502617801
SKAB,LSTM,0.2,0.6288958147818343,0.483739837398374,0.07172995780590717,0.12493438320209974
SKAB,GRU,0.0,0.6177649154051648,0.4263959390862944,0.10126582278481013,0.16366293229420362
SKAB,GRU,0.05,0.6166518254674977,0.42105263157894735,0.10126582278481013,0.16326530612244897
SKAB,GRU,0.1,0.616206589492431,0.4181360201511335,0.10006027727546715,0.1614785992217899
SKAB,GRU,0.2,0.6146482635796973,0.4090909090909091,0.09764918625678119,0.15766423357664233
SKAB,CNN,0.0,0.6197684772929652,0.4522417153996101,0.1398432790837854,0.2136279926335175
SKAB,CNN,0.05,0.6191006233303651,0.44921875,0.13863773357444242,0.21188392445877477
SKAB,CNN,0.1,0.6188780053428317,0.44834307992202727,0.13863773357444242,0.21178637200736647
SKAB,CNN,0.2,0.6197684772929652,0.4514851485148515,0.13743218806509946,0.21072088724584104
SKAB,LSTM,0.0,0.6577515865820489,0.7189349112426036,0.146562123039807,0.24348697394789579
SKAB,LSTM,0.05,0.6575249320036265,0.7168141592920354,0.146562123039807,0.24336504757135705
SKAB,LSTM,0.1,0.6584315503173164,0.7267267267267268,0.14595898673100122,0.2430939226519337
SKAB,LSTM,0.2,0.656844968268359,0.7168674698795181,0.14354644149577805,0.23919597989949748
SKAB,GRU,0.0,0.6378059836808704,0.5429799426934098,0.22858866103739445,0.32173174872665533
SKAB,GRU,0.05,0.6371260199456029,0.5412445730824892,0.2255729794933655,0.31843337590464027
SKAB,GRU,0.1,0.636672710788758,0.5399129172714079,0.2243667068757539,0.3170004260758415
SKAB,GRU,0.2,0.635312783318223,0.5353535353535354,0.22376357056694812,0.3156103785623139
SKAB,CNN,0.0,0.6538984587488668,0.5967503692762186,0.2436670687575392,0.3460385438972163
SKAB,CNN,0.05,0.6495920217588396,0.5813953488372093,0.24125452352231605,0.3410059676044331
SKAB,CNN,0.1,0.6443789664551224,0.5627644569816643,0.24065138721351026,0.33713561470215464
SKAB,CNN,0.2,0.6339528558476881,0.5268414481897628,0.2545235223160434,0.34322895485969906
SKAB,LSTM,0.0,0.642588910978573,0.0,0.0,0.0
SKAB,LSTM,0.05,0.6428098078197482,0.0,0.0,0.0
SKAB,LSTM,0.1,0.6434724983432737,1.0,0.0012376237623762376,0.002472187886279357
SKAB,LSTM,0.2,0.6443560857079744,1.0,0.0037128712871287127,0.007398273736128237
SKAB,GRU,0.0,0.6394963552021206,0.2894736842105263,0.006806930693069307,0.013301088270858524
SKAB,GRU,0.05,0.6383918709962447,0.24390243902439024,0.006188118811881188,0.012070006035003017
SKAB,GRU,0.1,0.6370664899491937,0.2545454545454545,0.008663366336633664,0.016756433273488927
SKAB,GRU,0.2,0.6313231720786393,0.26956521739130435,0.019183168316831683,0.03581744656268053
SKAB,CNN,0.0,0.642588910978573,0.3333333333333333,0.0012376237623762376,0.002466091245376079
SKAB,CNN,0.05,0.6434724983432737,0.6666666666666666,0.0024752475247524753,0.004932182490752158
SKAB,CNN,0.1,0.6441351888667992,0.7777777777777778,0.004331683168316832,0.008615384615384615
SKAB,CNN,0.2,0.6450187762314998,1.0,0.005569306930693069,0.011076923076923076
BATADAL,LSTM,0.0,0.8660170523751523,0.0,0.0,0.0
BATADAL,LSTM,0.05,0.8660170523751523,0.0,0.0,0.0
BATADAL,LSTM,0.1,0.8660170523751523,0.0,0.0,0.0
BATADAL,LSTM,0.2,0.8660170523751523,0.0,0.0,0.0
BATADAL,GRU,0.0,0.8708891595615104,0.6666666666666666,0.07272727272727272,0.13114754098360656
BATADAL,GRU,0.05,0.8708891595615104,0.6666666666666666,0.07272727272727272,0.13114754098360656
BATADAL,GRU,0.1,0.8684531059683313,0.5714285714285714,0.07272727272727272,0.12903225806451613
BATADAL,GRU,0.2,0.8647990255785627,0.4666666666666667,0.06363636363636363,0.112
BATADAL,CNN,0.0,0.8660170523751523,0.0,0.0,0.0
BATADAL,CNN,0.05,0.8660170523751523,0.0,0.0,0.0
BATADAL,CNN,0.1,0.8660170523751523,0.0,0.0,0.0
BATADAL,CNN,0.2,0.8660170523751523,0.0,0.0,0.0
SKAB,AUTOMATA,0.0,0.6205357142857143,0.2631578947368421,0.03768844221105527,0.06593406593406594
SKAB,AUTOMATA,0.05,0.6196428571428572,0.25862068965517243,0.03768844221105527,0.06578947368421052
SKAB,AUTOMATA,0.1,0.6196428571428572,0.25862068965517243,0.03768844221105527,0.06578947368421052
SKAB,AUTOMATA,0.2,0.6133928571428572,0.2033898305084746,0.03015075376884422,0.0525164113785558
SKAB,AUTOMATA,0.0,0.6290035587188612,0.2702702702702703,0.025,0.04576659038901602
SKAB,AUTOMATA,0.05,0.6281138790035588,0.275,0.0275,0.05
SKAB,AUTOMATA,0.1,0.6290035587188612,0.3111111111111111,0.035,0.06292134831460675
SKAB,AUTOMATA,0.2,0.6290035587188612,0.3191489361702128,0.0375,0.06711409395973154
SKAB,AUTOMATA,0.0,0.6245551601423488,0.35714285714285715,0.024154589371980676,0.04524886877828054
SKAB,AUTOMATA,0.05,0.6263345195729537,0.38461538461538464,0.024154589371980676,0.045454545454545456
SKAB,AUTOMATA,0.1,0.6245551601423488,0.3181818181818182,0.016908212560386472,0.03211009174311927
SKAB,AUTOMATA,0.2,0.6254448398576512,0.36,0.021739130434782608,0.04100227790432802
SKAB,AUTOMATA,0.0,0.6005434782608695,0.2903225806451613,0.043373493975903614,0.07547169811320754
SKAB,AUTOMATA,0.05,0.6041666666666666,0.328125,0.05060240963855422,0.08768267223382047
SKAB,AUTOMATA,0.1,0.6023550724637681,0.3125,0.04819277108433735,0.08350730688935282
SKAB,AUTOMATA,0.2,0.5978260869565217,0.2898550724637681,0.04819277108433735,0.08264462809917356
SKAB,AUTOMATA,0.0,0.5957634598411298,0.359375,0.1707920792079208,0.23154362416107382
SKAB,AUTOMATA,0.05,0.5992939099735216,0.3684210526315789,0.17326732673267325,0.2356902356902357
SKAB,AUTOMATA,0.1,0.5984112974404237,0.36363636363636365,0.16831683168316833,0.23011844331641285
SKAB,AUTOMATA,0.2,0.5992939099735216,0.3641304347826087,0.16584158415841585,0.22789115646258504
BATADAL,AUTOMATA,0.0,0.7281553398058253,0.22,0.39285714285714285,0.28205128205128205
BATADAL,AUTOMATA,0.05,0.7427184466019418,0.23404255319148937,0.39285714285714285,0.29333333333333333
BATADAL,AUTOMATA,0.1,0.7330097087378641,0.2127659574468085,0.35714285714285715,0.26666666666666666
BATADAL,AUTOMATA,0.2,0.7281553398058253,0.20833333333333334,0.35714285714285715,0.2631578947368421
SKAB,LSTM,0.0,0.7160383671648449,0.6833144154370034,0.37719298245614036,0.48607186112232537
SKAB,LSTM,0.05,0.7142538478697301,0.6783691959229898,0.37531328320802004,0.48325937878176684
SKAB,LSTM,0.1,0.7140307829578407,0.6768018018018018,0.37656641604010027,0.48389694041867953
SKAB,LSTM,0.2,0.7064465759536025,0.6545253863134658,0.37155388471177947,0.47402078337330134
SKAB,GRU,0.0,0.6393040374749052,0.49262122276879833,0.4392230576441103,0.4643921828420007
SKAB,GRU,0.05,0.6390809725630159,0.49229691876750703,0.44047619047619047,0.46494708994708994
SKAB,GRU,0.1,0.6381887129154584,0.4909090909090909,0.4398496240601504,0.4639788499669531
SKAB,GRU,0.2,0.6359580637965648,0.48753462603878117,0.44110275689223055,0.4631578947368421
SKAB,CNN,0.0,0.6932857461521302,0.6161934805467929,0.36716791979949875,0.4601491951315273
SKAB,CNN,0.05,0.6950702654472452,0.6188992731048806,0.37343358395989973,0.46580695584212584
SKAB,CNN,0.1,0.6948472005353558,0.6163265306122448,0.37844611528822053,0.468944099378882
SKAB,CNN,0.2,0.6814633058219942,0.577922077922078,0.39035087719298245,0.46596858638743455
SKAB,LSTM,0.0,0.7084170573788792,0.7436762225969646,0.2764890282131661,0.4031078610603291
SKAB,LSTM,0.05,0.709979906229069,0.7491582491582491,0.27899686520376177,0.40657834627683875
SKAB,LSTM,0.1,0.7113194909578031,0.757679180887372,0.27836990595611283,0.40715268225584594
SKAB,LSTM,0.2,0.7133288680509042,0.7791741472172352,0.2721003134796238,0.4033457249070632
SKAB,GRU,0.0,0.7218129046662202,0.6919691969196919,0.3943573667711599,0.5023961661341853
SKAB,GRU,0.05,0.7224826970305872,0.6908893709327549,0.3993730407523511,0.5061581247516885
SKAB,GRU,0.1,0.7229292252734986,0.6911447084233261,0.4012539184952978,0.5077350257834192
SKAB,GRU,0.2,0.725385130609511,0.6943556975505857,0.4087774294670846,0.5146014206787688
SKAB,CNN,0.0,0.7010493413708417,0.6282565130260521,0.3931034482758621,0.4836097184728114
SKAB,CNN,0.05,0.6992632283991963,0.6237524950099801,0.39184952978056425,0.48132460531382365
SKAB,CNN,0.1,0.6968073230631837,0.6179104477611941,0.38934169278996866,0.4776923076923077
SKAB,CNN,0.2,0.6916722482697031,0.6024904214559387,0.3943573667711599,0.4766957180750284
SKAB,LSTM,0.0,0.621326803205699,0.4280821917808219,0.0753465943339361,0.12813941568426448
SKAB,LSTM,0.05,0.6215494211932324,0.4290657439446367,0.07474382157926461,0.1273100616016427
SKAB,LSTM,0.1,0.621326803205699,0.4270833333333333,0.07414104882459313,0.1263482280431433
SKAB,LSTM,0.2,0.6199910952804987,0.4154929577464789,0.07112718505123568,0.12146165723108594
SKAB,GRU,0.0,0.6253339269813001,0.47674418604651164,0.14828209764918626,0.22620689655172413
SKAB,GRU,0.05,0.6251113089937667,0.4756335282651072,0.14707655213984328,0.22467771639042358
SKAB,GRU,0.1,0.6246660730186999,0.47398843930635837,0.14828209764918626,0.22589531680440772
SKAB,GRU,0.2,0.6291184327693677,0.49343339587242024,0.15852923447860157,0.23996350364963503
SKAB,CNN,0.0,0.6206589492430988,0.44389027431421446,0.10729355033152502,0.17281553398058253
SKAB,CNN,0.05,0.6211041852181657,0.4463840399002494,0.10789632308619651,0.17378640776699028
SKAB,CNN,0.1,0.6211041852181657,0.44611528822055135,0.10729355033152502,0.1729834791059281
SKAB,CNN,0.2,0.6204363312555654,0.44191919191919193,0.10548523206751055,0.170316301703163
SKAB,LSTM,0.0,0.6595119746949842,0.6507633587786259,0.2048048048048048,0.31155778894472363
SKAB,LSTM,0.05,0.6588341617713511,0.6481835564053537,0.2036036036036036,0.30987202925045704
SKAB,LSTM,0.1,0.658382286488929,0.6468330134357005,0.2024024024024024,0.3083257090576395
SKAB,LSTM,0.2,0.657252598282874,0.6428571428571429,0.2,0.3050847457627119
SKAB,GRU,0.0,0.6674197921373701,0.6491499227202473,0.25225225225225223,0.3633217993079585
SKAB,GRU,0.05,0.6674197921373701,0.6482334869431644,0.25345345345345344,0.3644214162348877
SKAB,GRU,0.1,0.666741979213737,0.6452599388379205,0.25345345345345344,0.3639499784389823
SKAB,GRU,0.2,0.666516041572526,0.6438356164383562,0.25405405405405407,0.3643410852713178
SKAB,CNN,0.0,0.6906913691821057,0.7681159420289855,0.25465465465465464,0.38249887235002256
SKAB,CNN,0.05,0.6900135562584727,0.7556719022687609,0.26006006006006005,0.386952636282395
SKAB,CNN,0.1,0.6891098056936286,0.7453310696095077,0.26366366366366367,0.3895297249334516
SKAB,CNN,0.2,0.6861726163578852,0.7065868263473054,0.28348348348348346,0.4046292327475354
SKAB,LSTM,0.0,0.6433473544387868,0.0,0.0,0.0
SKAB,LSTM,0.05,0.6433473544387868,0.0,0.0,0.0
SKAB,LSTM,0.1,0.6433473544387868,0.0,0.0,0.0
SKAB,LSTM,0.2,0.6433473544387868,0.0,0.0,0.0
SKAB,GRU,0.0,0.6433473544387868,0.0,0.0,0.0
SKAB,GRU,0.05,0.6433473544387868,0.0,0.0,0.0
SKAB,GRU,0.1,0.6433473544387868,0.0,0.0,0.0
SKAB,GRU,0.2,0.6440115120655302,1.0,0.00186219739292365,0.0037174721189591076
SKAB,CNN,0.0,0.6433473544387868,0.0,0.0,0.0
SKAB,CNN,0.05,0.6433473544387868,0.0,0.0,0.0
SKAB,CNN,0.1,0.643568740314368,1.0,0.0006207324643078833,0.0012406947890818859
SKAB,CNN,0.2,0.6446756696922736,1.0,0.0037243947858473,0.0074211502782931356
BATADAL,LSTM,0.0,0.8660170523751523,0.0,0.0,0.0
BATADAL,LSTM,0.05,0.8660170523751523,0.0,0.0,0.0
BATADAL,LSTM,0.1,0.8660170523751523,0.0,0.0,0.0
BATADAL,LSTM,0.2,0.8660170523751523,0.0,0.0,0.0
BATADAL,GRU,0.0,0.8660170523751523,0.0,0.0,0.0
BATADAL,GRU,0.05,0.8660170523751523,0.0,0.0,0.0
BATADAL,GRU,0.1,0.8660170523751523,0.0,0.0,0.0
BATADAL,GRU,0.2,0.8660170523751523,0.0,0.0,0.0
BATADAL,CNN,0.0,0.8660170523751523,0.0,0.0,0.0
BATADAL,CNN,0.05,0.8660170523751523,0.0,0.0,0.0
BATADAL,CNN,0.1,0.8660170523751523,0.0,0.0,0.0
BATADAL,CNN,0.2,0.8660170523751523,0.0,0.0,0.0
SKAB,AUTOMATA,0.0,0.6122994652406417,0.14,0.017543859649122806,0.031180400890868598
SKAB,AUTOMATA,0.05,0.6122994652406417,0.14,0.017543859649122806,0.031180400890868598
SKAB,AUTOMATA,0.1,0.6105169340463458,0.10416666666666667,0.012531328320802004,0.02237136465324385
SKAB,AUTOMATA,0.2,0.6114081996434938,0.16363636363636364,0.022556390977443608,0.039647577092511016
SKAB,AUTOMATA,0.0,0.6297948260481713,0.2571428571428571,0.022613065326633167,0.04157043879907621
SKAB,AUTOMATA,0.05,0.6297948260481713,0.2571428571428571,0.022613065326633167,0.04157043879907621
SKAB,AUTOMATA,0.1,0.6289027653880463,0.21875,0.017587939698492462,0.03255813953488372
SKAB,AUTOMATA,0.2,0.6297948260481713,0.2571428571428571,0.022613065326633167,0.04157043879907621
SKAB,AUTOMATA,0.0,0.6174377224199288,0.3181818181818182,0.033816425120772944,0.0611353711790393
SKAB,AUTOMATA,0.05,0.6209964412811388,0.35714285714285715,0.036231884057971016,0.06578947368421052
SKAB,AUTOMATA,0.1,0.6209964412811388,0.35714285714285715,0.036231884057971016,0.06578947368421052
SKAB,AUTOMATA,0.2,0.6209964412811388,0.35,0.033816425120772944,0.06167400881057269
SKAB,AUTOMATA,0.0,0.6110108303249098,0.37735849056603776,0.04784688995215311,0.08492569002123142
SKAB,AUTOMATA,0.05,0.6101083032490975,0.375,0.050239234449760764,0.08860759493670886
SKAB,AUTOMATA,0.1,0.6128158844765343,0.4067796610169492,0.05741626794258373,0.10062893081761007
SKAB,AUTOMATA,0.2,0.6010830324909747,0.3064516129032258,0.045454545454545456,0.07916666666666666
SKAB,AUTOMATA,0.0,0.6221238938053097,0.34177215189873417,0.06716417910447761,0.11226611226611227
SKAB,AUTOMATA,0.05,0.6256637168141593,0.36363636363636365,0.06965174129353234,0.11691022964509394
SKAB,AUTOMATA,0.1,0.6274336283185841,0.379746835443038,0.07462686567164178,0.12474012474012475
SKAB,AUTOMATA,0.2,0.6336283185840708,0.42857142857142855,0.08955223880597014,0.14814814814814814
BATADAL,AUTOMATA,0.0,0.7281553398058253,0.22,0.39285714285714285,0.28205128205128205
BATADAL,AUTOMATA,0.05,0.7184466019417476,0.21153846153846154,0.39285714285714285,0.275
BATADAL,AUTOMATA,0.1,0.7184466019417476,0.2,0.35714285714285715,0.2564102564102564
BATADAL,AUTOMATA,0.2,0.7281553398058253,0.20833333333333334,0.35714285714285715,0.2631578947368421
SKAB,LSTM,0.0,0.6468617377708287,0.5036057692307693,0.5260514752040176,0.5145839729812711
SKAB,LSTM,0.05,0.6452981907527362,0.5014925373134328,0.527306967984934,0.5140758873929009
SKAB,LSTM,0.1,0.6452981907527362,0.5014889815366289,0.5285624607658506,0.5146699266503667
SKAB,LSTM,0.2,0.6479785570694662,0.5050989802039592,0.5285624607658506,0.5165644171779141
SKAB,GRU,0.0,0.6495421040875586,0.50734394124847,0.5204017576898933,0.513789897737837
SKAB,GRU,0.05,0.6511056511056511,0.5094917330067361,0.5222849968612681,0.5158090514569126
SKAB,GRU,0.1,0.652445834264016,0.5113566605279313,0.5229127432517263,0.5170701427684667
SKAB,GRU,0.2,0.654232745141836,0.5139664804469274,0.519774011299435,0.5168539325842697
SKAB,CNN,0.0,0.7210185392003574,0.6657032755298651,0.4337727558066541,0.5252755606233371
SKAB,CNN,0.05,0.7216886307795398,0.6679574056147144,0.4331450094161959,0.5255140898705255
SKAB,CNN,0.1,0.7214652669198124,0.6666666666666666,0.43440050219711235,0.5260357278601292
SKAB,CNN,0.2,0.7165512620058074,0.6511194029850746,0.4381669805398619,0.523827392120075
SKAB,LSTM,0.0,0.6721018539200357,0.6193181818181818,0.2051442910915935,0.3081998114985862
SKAB,LSTM,0.05,0.6709850346213982,0.6161228406909789,0.2013801756587202,0.30354609929078014
SKAB,LSTM,0.1,0.6736654009381282,0.627151051625239,0.205771643663739,0.30987246102975907
SKAB,LSTM,0.2,0.6747822202367657,0.628731343283582,0.21141781681304894,0.3164319248826291
SKAB,GRU,0.0,0.6729953093589457,0.6076158940397351,0.2302383939774153,0.33393994540491356
SKAB,GRU,0.05,0.6712083984811258,0.6023489932885906,0.22521957340025095,0.3278538812785388
SKAB,GRU,0.1,0.6732186732186732,0.6115843270868825,0.22521957340025095,0.3292067858780376
SKAB,GRU,0.2,0.6718784900603082,0.6061120543293718,0.22396486825595985,0.32707283554741184
SKAB,CNN,0.0,0.6729953093589457,0.589041095890411,0.2697616060225847,0.37005163511187605
SKAB,CNN,0.05,0.6736654009381282,0.5907230559345157,0.2716436637390213,0.37215298667812635
SKAB,CNN,0.1,0.6741121286575832,0.5915875169606513,0.27352572145545795,0.3740883740883741
SKAB,CNN,0.2,0.6774625865534957,0.6005361930294906,0.2810539523212045,0.38290598290598293
SKAB,LSTM,0.0,0.6271148708815673,0.4735099337748344,0.0861965039180229,0.14584395716471188
SKAB,LSTM,0.05,0.6271148708815673,0.47368421052631576,0.0867992766726944,0.1467142129393785
SKAB,LSTM,0.1,0.6266696349065004,0.47058823529411764,0.0867992766726944,0.1465648854961832
SKAB,LSTM,0.2,0.6237756010685663,0.45016077170418006,0.08438818565400844,0.14213197969543148
SKAB,GRU,0.0,0.6295636687444346,0.49097472924187724,0.08197709463532249,0.14049586776859505
SKAB,GRU,0.05,0.6280053428317008,0.4785714285714286,0.0807715491259795,0.13821557503867973
SKAB,GRU,0.1,0.6260017809439002,0.4634146341463415,0.08016877637130802,0.1366906474820144
SKAB,GRU,0.2,0.6251113089937667,0.45791245791245794,0.08197709463532249,0.1390593047034765
SKAB,CNN,0.0,0.6366874443455031,0.5228426395939086,0.18625678119349007,0.27466666666666667
SKAB,CNN,0.05,0.6366874443455031,0.5225375626043406,0.188667872212176,0.27723649247121346
SKAB,CNN,0.1,0.6346838824577026,0.5152027027027027,0.1838456901748041,0.270990670812972
SKAB,CNN,0.2,0.6326803205699021,0.507563025210084,0.18203737191078964,0.26796805678793256
SKAB,LSTM,0.0,0.6588447653429603,0.6494252873563219,0.20323741007194246,0.3095890410958904
SKAB,LSTM,0.05,0.6581678700361011,0.6451612903225806,0.2038369304556355,0.3097949886104784
SKAB,LSTM,0.1,0.657942238267148,0.6428571428571429,0.20503597122302158,0.3109090909090909
SKAB,LSTM,0.2,0.657942238267148,0.6428571428571429,0.20503597122302158,0.3109090909090909
SKAB,GRU,0.0,0.6441787003610109,0.5701078582434514,0.22182254196642687,0.3193785066896849
SKAB,GRU,0.05,0.6435018050541517,0.5676923076923077,0.22122302158273383,0.3183779119930975
SKAB,GRU,0.1,0.6425992779783394,0.5644171779141104,0.22062350119904076,0.31724137931034485
SKAB,GRU,0.2,0.6432761732851986,0.566412213740458,0.2224220623501199,0.3194145501506672
SKAB,CNN,0.0,0.6525270758122743,0.6134751773049646,0.20743405275779375,0.3100358422939068
SKAB,CNN,0.05,0.6532039711191335,0.6159292035398231,0.20863309352517986,0.3116883116883117
SKAB,CNN,0.1,0.6532039711191335,0.6155202821869489,0.2092326139088729,0.3123042505592841
SKAB,CNN,0.2,0.6513989169675091,0.6069565217391304,0.2092326139088729,0.31119037004012484
SKAB,LSTM,0.0,0.6970568709891569,0.8761609907120743,0.17555831265508684,0.2925064599483204
SKAB,LSTM,0.05,0.6968355830936048,0.8711656441717791,0.1761786600496278,0.2930856553147575
SKAB,LSTM,0.1,0.6963930073025005,0.8636363636363636,0.17679900744416874,0.29351184346035014
SKAB,LSTM,0.2,0.6950652799291879,0.8502994011976048,0.1761786600496278,0.2918807810894142
SKAB,GRU,0.0,0.6784686877627794,1.0,0.09863523573200993,0.1795595708639187
SKAB,GRU,0.05,0.6780261119716752,1.0,0.09739454094292804,0.17750141322781232
SKAB,GRU,0.1,0.6773622482850188,1.0,0.09553349875930521,0.17440543601359004
SKAB,GRU,0.2,0.6771409603894667,1.0,0.09491315136476426,0.173371104815864
SKAB,CNN,0.0,0.6764770967028103,1.0,0.09305210918114144,0.170261066969353
SKAB,CNN,0.05,0.6764770967028103,1.0,0.09305210918114144,0.170261066969353
SKAB,CNN,0.1,0.6769196724939146,1.0,0.09429280397022333,0.17233560090702948
SKAB,CNN,0.2,0.6775835361805709,1.0,0.09615384615384616,0.17543859649122806
BATADAL,LSTM,0.0,0.8660170523751523,0.0,0.0,0.0
BATADAL,LSTM,0.05,0.8660170523751523,0.0,0.0,0.0
BATADAL,LSTM,0.1,0.8660170523751523,0.0,0.0,0.0
BATADAL,LSTM,0.2,0.8660170523751523,0.0,0.0,0.0
BATADAL,GRU,0.0,0.8660170523751523,0.0,0.0,0.0
BATADAL,GRU,0.05,0.8660170523751523,0.0,0.0,0.0
BATADAL,GRU,0.1,0.8660170523751523,0.0,0.0,0.0
BATADAL,GRU,0.2,0.8660170523751523,0.0,0.0,0.0
BATADAL,CNN,0.0,0.8660170523751523,0.0,0.0,0.0
BATADAL,CNN,0.05,0.8660170523751523,0.0,0.0,0.0
BATADAL,CNN,0.1,0.8660170523751523,0.0,0.0,0.0
BATADAL,CNN,0.2,0.8660170523751523,0.0,0.0,0.0
SKAB,AUTOMATA,0.0,0.6169642857142857,0.23728813559322035,0.035175879396984924,0.061269146608315096
SKAB,AUTOMATA,0.05,0.61875,0.2698412698412698,0.04271356783919598,0.0737527114967462
SKAB,AUTOMATA,0.1,0.6160714285714286,0.24193548387096775,0.03768844221105527,0.06521739130434782
SKAB,AUTOMATA,0.2,0.6151785714285715,0.24615384615384617,0.04020100502512563,0.06911447084233262
SKAB,AUTOMATA,0.0,0.6419642857142858,0.4482758620689655,0.032663316582914576,0.06088992974238876
SKAB,AUTOMATA,0.05,0.6401785714285714,0.41935483870967744,0.032663316582914576,0.06060606060606061
SKAB,AUTOMATA,0.1,0.6419642857142858,0.45454545454545453,0.03768844221105527,0.06960556844547564
SKAB,AUTOMATA,0.2,0.6401785714285714,0.4358974358974359,0.04271356783919598,0.07780320366132723
SKAB,AUTOMATA,0.0,0.6209964412811388,0.38461538461538464,0.04830917874396135,0.08583690987124463
SKAB,AUTOMATA,0.05,0.6209964412811388,0.3695652173913043,0.04106280193236715,0.07391304347826087
SKAB,AUTOMATA,0.1,0.6227758007117438,0.38636363636363635,0.04106280193236715,0.07423580786026202
SKAB,AUTOMATA,0.2,0.6218861209964412,0.3829787234042553,0.043478260869565216,0.07809110629067245
