dataset,family,model,split,training_time_seconds_mean,training_time_seconds_std,training_time_seconds_min,training_time_seconds_max,inference_time_seconds_mean,inference_time_seconds_std,inference_time_seconds_min,inference_time_seconds_max,test_examples_mean,test_examples_std,test_examples_min,test_examples_max
BATADAL,AUTOMATA,AUTOMATA,test,0.5297211600009177,0.011981214003098284,0.511592800001381,0.5423119999977644,0.0045919400014099,0.00017771908471370676,0.0043881000019609,0.0048334000020986,206.0,0.0,206,206
BATADAL,DEEP,CNN,test,6.21897459999891,2.050488753375315,2.8065212999972573,7.875658099997963,0.01362212000021822,0.002416161518908754,0.0121628000015334,0.0179067999997641,821.0,0.0,821,821
BATADAL,DEEP,GRU,test,2.968140140000469,0.35048889128309585,2.547183999999106,3.438258099999075,0.0193099399999482,0.0020214467695268685,0.0171405000000959,0.0226208999993104,821.0,0.0,821,821
BATADAL,DEEP,LSTM,test,2.7893923199997515,0.5038139130773315,2.407201599999098,3.4021672000017134,0.01957491999855842,0.0017679122543501052,0.0176548999988881,0.0214434999979857,821.0,0.0,821,821
SKAB,AUTOMATA,AUTOMATA,fold_0,26.361509340001067,0.32355456126626375,25.78985490000196,26.571321700001132,0.007561780000833041,0.0005951480248370839,0.0067624000002979,0.0083479999993869,1121.4,1.341640786499857,1120,1123
SKAB,AUTOMATA,AUTOMATA,fold_1,25.790918660000898,0.3075063340009014,25.528474100003223,26.277754599999756,0.00731888000009342,0.000624193954190222,0.0068613999974331,0.0084169000001566,1121.6,1.8165902124584903,1120,1124
SKAB,AUTOMATA,AUTOMATA,fold_2,25.91893452000004,0.4231581230548632,25.362476300000708,26.502690600002097,0.0069308400001318205,0.0002368232848729449,0.0066358999974909,0.0071809000000939,1124.0,0.0,1124,1124
SKAB,AUTOMATA,AUTOMATA,fold_3,26.244300019999354,0.20544090333233514,26.006396500000847,26.51047939999989,0.0071844799997051595,0.00042268162633529927,0.0066093999994336,0.0075605000020004,1106.2,2.167948338867884,1104,1109
SKAB,AUTOMATA,AUTOMATA,fold_4,26.007674119999866,0.2395014515118531,25.633480799999237,26.22452460000204,0.01357700000007748,0.00804292263030607,0.0072834999991755,0.0226124000000709,1131.6,1.3416407864998834,1130,1133
SKAB,DEEP,CNN,fold_0,18.68820108,12.471960834549048,6.525796599999012,37.95807419999983,0.08289362000068644,0.008603350716357044,0.0734828000022389,0.0964607999994768,4481.0,4.898979485566368,4475,4487
SKAB,DEEP,CNN,fold_1,12.37521704000028,16.392338521130227,4.82913439999902,41.69335569999748,0.0811194800007797,0.002637507051899764,0.0781706999987363,0.0853666000002704,4482.2,6.418722614352435,4477,4491
SKAB,DEEP,CNN,fold_2,6.107925680000335,1.1925188690706143,4.638266199999634,7.292249800000718,0.07860948000015919,0.0036134860200439417,0.0747938000022259,0.0837879999999131,4492.0,0.0,4492,4492
SKAB,DEEP,CNN,fold_3,11.950148200000694,8.69313733640043,4.817206100000476,23.93065079999724,0.07854978000032128,0.0023602215553730106,0.0755186999995203,0.0814248000024235,4419.6,8.87693640846892,4412,4432
SKAB,DEEP,CNN,fold_4,8.335427619999972,4.869983855969837,4.627648599998793,14.357710000000225,0.08253412000049132,0.006860170835592572,0.0741196000017225,0.091678699998738,4522.2,4.604345773288565,4517,4527
SKAB,DEEP,GRU,fold_0,10.23854732000109,2.6766332334268257,7.657208600001468,13.634519100000034,0.09924866000073955,0.002660984108848672,0.0960384999998495,0.1023244999996677,4481.0,4.898979485566368,4475,4487
SKAB,DEEP,GRU,fold_1,7.983915620000334,1.7607861066870933,6.473931000000448,9.953166800001782,0.09663701999961626,0.005439546770092215,0.0911478999987593,0.1050343999995675,4482.2,6.418722614352435,4477,4491
SKAB,DEEP,GRU,fold_2,8.899382760000298,2.582937104874256,6.66207729999951,13.268516700001785,0.1009638999996241,0.004810463747229331,0.094393499999569,0.1075435999991896,4492.0,0.0,4492,4492
SKAB,DEEP,GRU,fold_3,7.142827579999721,1.5232808453252755,6.352445900000021,9.861673899999005,0.09723711999977233,0.004509571863926024,0.0936528999991423,0.1050073000005795,4419.6,8.87693640846892,4412,4432
SKAB,DEEP,GRU,fold_4,9.193667859998822,2.617637788510647,6.593917099999089,13.360683899998548,0.09783699999898085,0.0036155003719419896,0.0937140999994881,0.1026052999986859,4522.2,4.604345773288565,4517,4527
SKAB,DEEP,LSTM,fold_0,12.124292779999815,3.2637406584939908,6.744623099999444,14.930268800002525,0.10133050000004,0.0034255112141551745,0.0985269000011612,0.1063969999995606,4481.0,4.898979485566368,4475,4487
SKAB,DEEP,LSTM,fold_1,10.497653160000482,4.667672988946528,7.287936000000627,18.290813499999786,0.10384984000047545,0.005840432074112101,0.0992408999991312,0.113894900001469,4482.2,6.418722614352435,4477,4491
SKAB,DEEP,LSTM,fold_2,9.187710239999433,3.2699355756267146,6.745755299998564,13.788503199997647,0.1024642799980938,0.004462334849316324,0.0970557000000553,0.1060086999968916,4492.0,0.0,4492,4492
SKAB,DEEP,LSTM,fold_3,8.222545479999098,2.081853933324281,6.608452699998452,11.501638900001126,0.10011653999972618,0.0058596262921477476,0.0957716999982949,0.1102582999992591,4419.6,8.87693640846892,4412,4432
SKAB,DEEP,LSTM,fold_4,8.352922839999518,1.7537484822015565,6.796910099998058,10.98344680000082,0.10547387999977213,0.004938106033942668,0.0986439999978756,0.1125878000020748,4522.2,4.604345773288565,4517,4527
