dataset,model,family,split,training_time_seconds,inference_time_seconds,test_examples,seed
SKAB,AUTOMATA,AUTOMATA,fold_0,26.571321700001135,0.00676240000029793,1120,42
SKAB,AUTOMATA,AUTOMATA,fold_1,25.528474100003223,0.008416900000156602,1124,42
SKAB,AUTOMATA,AUTOMATA,fold_2,25.94212869999683,0.006635899997490924,1124,42
SKAB,AUTOMATA,AUTOMATA,fold_3,26.006396500000847,0.007532399999035988,1104,42
SKAB,AUTOMATA,AUTOMATA,fold_4,25.91457139999693,0.02214269999967655,1133,42
SKAB,AUTOMATA,AUTOMATA,fold_0,25.789854900001956,0.007453500002156943,1122,123
SKAB,AUTOMATA,AUTOMATA,fold_1,25.90700370000195,0.006861399997433182,1121,123
SKAB,AUTOMATA,AUTOMATA,fold_2,26.502690600002097,0.007165600000007544,1124,123
SKAB,AUTOMATA,AUTOMATA,fold_3,26.510479399999895,0.007560500002000481,1108,123
SKAB,AUTOMATA,AUTOMATA,fold_4,26.22452460000204,0.007283499999175547,1130,123
SKAB,AUTOMATA,AUTOMATA,fold_0,26.475060900000244,0.0073574000016378704,1120,2026
SKAB,AUTOMATA,AUTOMATA,fold_1,25.64208569999755,0.007042699999146862,1120,2026
SKAB,AUTOMATA,AUTOMATA,fold_2,25.714772899998934,0.006864900002256036,1124,2026
SKAB,AUTOMATA,AUTOMATA,fold_3,26.169321800000034,0.006609399999433663,1109,2026
SKAB,AUTOMATA,AUTOMATA,fold_4,25.633480799999234,0.008243899999797577,1131,2026
SKAB,AUTOMATA,AUTOMATA,fold_0,26.53160100000241,0.00788760000068578,1122,7
SKAB,AUTOMATA,AUTOMATA,fold_1,26.277754599999753,0.007115700002032099,1123,7
SKAB,AUTOMATA,AUTOMATA,fold_2,26.072604100001627,0.0071809000000939704,1124,7
SKAB,AUTOMATA,AUTOMATA,fold_3,26.399298499996803,0.006875099999888334,1105,7
SKAB,AUTOMATA,AUTOMATA,fold_4,26.167316400002164,0.007602500001667067,1131,7
SKAB,AUTOMATA,AUTOMATA,fold_0,26.439708199999586,0.008347999999386957,1123,999
SKAB,AUTOMATA,AUTOMATA,fold_1,25.599275200002012,0.007157700001698686,1120,999
SKAB,AUTOMATA,AUTOMATA,fold_2,25.362476300000708,0.006806900000810856,1124,999
SKAB,AUTOMATA,AUTOMATA,fold_3,26.136003899999196,0.007344999998167623,1105,999
SKAB,AUTOMATA,AUTOMATA,fold_4,26.098477399998956,0.02261240000007092,1133,999
BATADAL,AUTOMATA,AUTOMATA,test,0.5256470000022091,0.004528700002992991,206,42
BATADAL,AUTOMATA,AUTOMATA,test,0.5310456000006525,0.004710000001068693,206,123
BATADAL,AUTOMATA,AUTOMATA,test,0.5423119999977644,0.004388100001960993,206,2026
BATADAL,AUTOMATA,AUTOMATA,test,0.5380084000025818,0.004833400002098642,206,7
BATADAL,AUTOMATA,AUTOMATA,test,0.511592800001381,0.004499499998928513,206,999
