dataset,split,seed,model_a,model_b,test,variant,n_pairs,discordant_pairs,b,c,statistic,p_value
BATADAL,test,7,LSTM,CNN,mcnemar,chi_square_cc,821,163,51,112,22.085889570552148,2.6071916867653755e-06
BATADAL,test,7,LSTM,GRU,mcnemar,chi_square_cc,821,146,107,39,30.746575342465754,2.9402229650976608e-08
BATADAL,test,42,LSTM,CNN,mcnemar,chi_square_cc,821,273,53,220,100.93772893772893,0.0
BATADAL,test,42,LSTM,GRU,mcnemar,chi_square_cc,821,267,74,193,52.149812734082396,5.142553050063725e-13
BATADAL,test,123,LSTM,CNN,mcnemar,chi_square_cc,821,206,18,188,138.64563106796118,0.0
BATADAL,test,123,LSTM,GRU,mcnemar,chi_square_cc,821,96,34,62,7.59375,0.00585709908528409
BATADAL,test,999,LSTM,CNN,mcnemar,chi_square_cc,821,162,136,26,73.3395061728395,0.0
BATADAL,test,999,LSTM,GRU,mcnemar,chi_square_cc,821,177,107,70,7.322033898305085,0.006811428372389239
BATADAL,test,2026,LSTM,CNN,mcnemar,chi_square_cc,821,180,110,70,8.45,0.0036504344044419046
BATADAL,test,2026,LSTM,GRU,mcnemar,chi_square_cc,821,81,25,56,11.11111111111111,0.0008581206663936802
SKAB,fold_0,7,LSTM,CNN,mcnemar,chi_square_cc,4483,1246,848,398,161.79855537720707,0.0
SKAB,fold_0,7,LSTM,GRU,mcnemar,chi_square_cc,4483,1246,848,398,161.79855537720707,0.0
SKAB,fold_0,42,LSTM,CNN,mcnemar,degenerate,4475,0,0,0,0.0,1.0
SKAB,fold_0,42,LSTM,GRU,mcnemar,chi_square_cc,4475,123,0,123,121.00813008130082,0.0
SKAB,fold_0,123,LSTM,CNN,mcnemar,chi_square_cc,4483,716,329,387,4.537709497206704,0.03315592913575427
SKAB,fold_0,123,LSTM,GRU,mcnemar,chi_square_cc,4483,645,402,243,38.70387596899225,4.932286801206942e-10
SKAB,fold_0,999,LSTM,CNN,mcnemar,chi_square_cc,4487,608,265,343,9.751644736842104,0.0017916234571094813
SKAB,fold_0,999,LSTM,GRU,mcnemar,chi_square_cc,4487,485,419,66,255.4721649484536,0.0
SKAB,fold_0,2026,LSTM,CNN,mcnemar,chi_square_cc,4477,301,103,198,29.35548172757475,6.02458547493967e-08
SKAB,fold_0,2026,LSTM,GRU,mcnemar,chi_square_cc,4477,2867,811,2056,539.7753749564005,0.0
SKAB,fold_1,7,LSTM,CNN,mcnemar,degenerate,4487,0,0,0,0.0,1.0
SKAB,fold_1,7,LSTM,GRU,mcnemar,degenerate,4487,0,0,0,0.0,1.0
SKAB,fold_1,42,LSTM,CNN,mcnemar,degenerate,4491,0,0,0,0.0,1.0
SKAB,fold_1,42,LSTM,GRU,mcnemar,degenerate,4491,0,0,0,0.0,1.0
SKAB,fold_1,123,LSTM,CNN,mcnemar,chi_square_cc,4479,1167,750,417,94.45072836332477,0.0
SKAB,fold_1,123,LSTM,GRU,mcnemar,chi_square_cc,4479,38,16,22,0.6578947368421053,0.41730416562740436
SKAB,fold_1,999,LSTM,CNN,mcnemar,exact,4477,2,2,0,0.0,0.5
SKAB,fold_1,999,LSTM,GRU,mcnemar,chi_square_cc,4477,750,373,377,0.012,0.9127706190965621
SKAB,fold_1,2026,LSTM,CNN,mcnemar,chi_square_cc,4477,576,6,570,550.2934027777778,0.0
SKAB,fold_1,2026,LSTM,GRU,mcnemar,chi_square_cc,4477,1261,492,769,60.409199048374305,7.66053886991358e-15
SKAB,fold_2,7,LSTM,CNN,mcnemar,chi_square_cc,4492,2947,1036,1911,259.2046148625721,0.0
SKAB,fold_2,7,LSTM,GRU,mcnemar,chi_square_cc,4492,1681,595,1086,142.8316478286734,0.0
SKAB,fold_2,42,LSTM,CNN,mcnemar,degenerate,4492,0,0,0,0.0,1.0
SKAB,fold_2,42,LSTM,GRU,mcnemar,degenerate,4492,0,0,0,0.0,1.0
SKAB,fold_2,123,LSTM,CNN,mcnemar,chi_square_cc,4492,731,211,520,129.77291381668945,0.0
SKAB,fold_2,123,LSTM,GRU,mcnemar,chi_square_cc,4492,2840,1515,1325,12.57781690140845,0.000390352439529007
SKAB,fold_2,999,LSTM,CNN,mcnemar,chi_square_cc,4492,420,105,315,104.00238095238095,0.0
SKAB,fold_2,999,LSTM,GRU,mcnemar,degenerate,4492,0,0,0,0.0,1.0
SKAB,fold_2,2026,LSTM,CNN,mcnemar,degenerate,4492,0,0,0,0.0,1.0
SKAB,fold_2,2026,LSTM,GRU,mcnemar,degenerate,4492,0,0,0,0.0,1.0
SKAB,fold_3,7,LSTM,CNN,mcnemar,exact,4414,3,3,0,0.0,0.25
SKAB,fold_3,7,LSTM,GRU,mcnemar,exact,4414,3,3,0,0.0,0.25
SKAB,fold_3,42,LSTM,CNN,mcnemar,chi_square_cc,4412,790,188,602,215.91012658227848,0.0
SKAB,fold_3,42,LSTM,GRU,mcnemar,chi_square_cc,4412,681,145,536,223.34801762114537,0.0
SKAB,fold_3,123,LSTM,CNN,mcnemar,chi_square_cc,4426,738,152,586,254.05013550135502,0.0
SKAB,fold_3,123,LSTM,GRU,mcnemar,degenerate,4426,0,0,0,0.0,1.0
SKAB,fold_3,999,LSTM,CNN,mcnemar,degenerate,4414,0,0,0,0.0,1.0
SKAB,fold_3,999,LSTM,GRU,mcnemar,exact,4414,4,0,4,0.0,0.125
SKAB,fold_3,2026,LSTM,CNN,mcnemar,degenerate,4432,0,0,0,0.0,1.0
SKAB,fold_3,2026,LSTM,GRU,mcnemar,degenerate,4432,0,0,0,0.0,1.0
SKAB,fold_4,7,LSTM,CNN,mcnemar,chi_square_cc,4521,709,408,301,15.847672778561353,6.865091233498877e-05
SKAB,fold_4,7,LSTM,GRU,mcnemar,chi_square_cc,4521,1060,565,495,4.491509433962264,0.0340635885311702
SKAB,fold_4,42,LSTM,CNN,mcnemar,chi_square_cc,4527,419,257,162,21.088305489260144,4.3859667170353944e-06
SKAB,fold_4,42,LSTM,GRU,mcnemar,chi_square_cc,4527,1694,595,1099,149.35596221959858,0.0
SKAB,fold_4,123,LSTM,CNN,mcnemar,chi_square_cc,4517,623,233,390,39.06260032102729,4.104315776132239e-10
SKAB,fold_4,123,LSTM,GRU,mcnemar,chi_square_cc,4517,1784,1177,607,181.48038116591928,0.0
SKAB,fold_4,999,LSTM,CNN,mcnemar,chi_square_cc,4527,1557,518,1039,173.66730892742453,0.0
SKAB,fold_4,999,LSTM,GRU,mcnemar,chi_square_cc,4527,386,126,260,45.82642487046632,1.2920886582890034e-11
SKAB,fold_4,2026,LSTM,CNN,mcnemar,chi_square_cc,4519,476,310,166,42.96008403361345,5.586819895597728e-11
SKAB,fold_4,2026,LSTM,GRU,mcnemar,chi_square_cc,4519,1792,659,1133,124.84877232142857,0.0
