dataset,model,split,version,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,threshold_mean,threshold_std,threshold_min,threshold_max,pos_weight_mean,pos_weight_std,pos_weight_min,pos_weight_max
BATADAL,CNN,test,tuned_threshold_weighted_loss,0.6545676004872106,0.08270303286289993,0.5200974421437271,0.7381242387332522,0.12469798377691739,0.022213545594666224,0.09659090909090909,0.152317880794702,0.24727272727272726,0.038246698123568415,0.20909090909090908,0.3090909090909091,0.16302242150398763,0.014752491088887659,0.1471861471861472,0.1794871794871795,0.558,0.04147288270665541,0.49,0.59,17.87121212121212,0.0,17.87121212121212,17.87121212121212
BATADAL,GRU,test,tuned_threshold_weighted_loss,0.6119366626065774,0.0925243492616169,0.51278928136419,0.7271619975639464,0.13468850787598954,0.021039301038200137,0.10810810810810811,0.16071428571428573,0.3327272727272727,0.07175486276607679,0.24545454545454545,0.43636363636363634,0.18802630125906056,0.014728798528728843,0.16666666666666666,0.2006079027355623,0.51,0.049497474683058346,0.43,0.55,17.87121212121212,0.0,17.87121212121212,17.87121212121212
BATADAL,LSTM,test,tuned_threshold_weighted_loss,0.5941534713763703,0.08648590670687546,0.47868453105968334,0.6894031668696712,0.07823457907956388,0.02165883483293393,0.059574468085106386,0.10810810810810811,0.1890909090909091,0.08752803565026115,0.11818181818181818,0.33636363636363636,0.10856413935886611,0.030782252718133347,0.08115942028985507,0.14741035856573706,0.542,0.09038805230781334,0.39,0.61,17.87121212121212,0.0,17.87121212121212,17.87121212121212
SKAB,CNN,fold_0,tuned_threshold_weighted_loss,0.8508381798306879,0.0526377219715725,0.7667188548423172,0.8957165283695896,0.7901790487745999,0.1030588651519397,0.637616718541574,0.9042119565217391,0.8394090087897903,0.023102290542142124,0.8032589016294508,0.8628158844765343,0.8102414227181318,0.04994731639770029,0.7333162873945283,0.8586196412283369,0.374,0.18622566955175646,0.21,0.69,1.0,0.0,1.0,1.0
SKAB,CNN,fold_1,tuned_threshold_weighted_loss,0.8846506982167572,0.04541074652519218,0.8356072467009618,0.9266980497646268,0.8353396936184371,0.09138928927850001,0.7281219272369714,0.9487525286581254,0.8715203667129883,0.038944060381299245,0.8252252252252252,0.9264173703256936,0.8507440388809991,0.05199862813000265,0.788975021533161,0.896410854975197,0.354,0.14293355099485913,0.18,0.57,1.0,0.0,1.0,1.0
SKAB,CNN,fold_2,tuned_threshold_weighted_loss,0.8285522788203753,0.02149108012993572,0.7933422698838248,0.8498659517426274,0.9989615784008308,0.0023219812850465396,0.9948078920041536,1.0,0.555194428322693,0.05582488543677733,0.4631456761462565,0.6099825885084156,0.7123516507638767,0.047695687943050145,0.6330821102737009,0.7577505407354002,0.384,0.1374045122985413,0.26,0.57,1.0,0.0,1.0,1.0
SKAB,CNN,fold_3,tuned_threshold_weighted_loss,0.911649147616993,0.021717637312475713,0.8754528985507246,0.9294813466787989,0.9613767127303035,0.05036200112041134,0.8798200514138818,1.0,0.8090612987933079,0.03415281113526896,0.7738577212261423,0.8624492164828786,0.8778376331979307,0.02847970571493046,0.8327250608272506,0.9030689759951382,0.43600000000000005,0.16861198059449986,0.22,0.61,1.0,0.0,1.0,1.0
SKAB,CNN,fold_4,tuned_threshold_weighted_loss,0.9231288925960015,0.006630851228072744,0.9156118143459916,0.9334073251942286,0.9960695532264643,0.006360492822416969,0.9853801169590644,1.0,0.7967329747847746,0.0195780434836051,0.7732696897374701,0.8252832438878951,0.8851820396519526,0.011141717789353708,0.8721399730820996,0.9022164276401564,0.512,0.20535335400231472,0.28,0.75,1.0,0.0,1.0,1.0
SKAB,GRU,fold_0,tuned_threshold_weighted_loss,0.8732121650780045,0.03072170918734723,0.8264370386938045,0.9107823357991481,0.8306168340028138,0.08301237317610118,0.7253306205493387,0.9480427046263346,0.8406198623800766,0.03039802510935948,0.803862401931201,0.8674698795180723,0.8327154681082366,0.030333113346060623,0.7861080485115767,0.8700195950359242,0.512,0.3383341543503996,0.19,0.99,1.0,0.0,1.0,1.0
SKAB,GRU,fold_1,tuned_threshold_weighted_loss,0.8952030178060874,0.024478492213872594,0.867801926954963,0.9212704093044062,0.8660844496281964,0.08971284308860956,0.7773741567202906,0.9954648526077098,0.864834049696675,0.05928624138344275,0.7919422730006013,0.9161640530759951,0.8607557444408254,0.024927053333721153,0.8354712771890686,0.8916935720575286,0.388,0.207533129885327,0.19,0.74,1.0,0.0,1.0,1.0
