dataset,model,family,split,training_time_seconds_mean,training_time_seconds_std,training_time_seconds_min,training_time_seconds_max,inference_time_seconds_mean,inference_time_seconds_std,inference_time_seconds_min,inference_time_seconds_max,test_examples_mean,test_examples_std,test_examples_min,test_examples_max,epochs_completed_mean,epochs_completed_std,epochs_completed_min,epochs_completed_max,pos_weight_mean,pos_weight_std,pos_weight_min,pos_weight_max
BATADAL,CNN,DEEP,test,6.0974728400004095,2.026964403826139,2.7320534999889787,8.170788199990056,0.015474039997207001,0.0007713924802727411,0.014708799979416654,0.016597799985902384,821.0,0.0,821,821,34.2,11.606032913963325,15,46,17.87121212121212,0.0,17.87121212121212,17.87121212121212
BATADAL,GRU,DEEP,test,3.67366059999913,0.40722256668459783,3.1892217000131495,4.165385400003288,0.016712580010062084,0.000619652435650888,0.016053600003942847,0.017427800019504502,821.0,0.0,821,821,13.2,1.3038404810405297,12,15,17.87121212121212,0.0,17.87121212121212,17.87121212121212
BATADAL,LSTM,DEEP,test,2.8549637000018264,1.0248477763829547,1.9456401000206824,4.254486500023631,0.019370119995437564,0.0009396986155010779,0.01833500000066124,0.020336099987616763,821.0,0.0,821,821,11.8,4.43846820423443,8,18,17.87121212121212,0.0,17.87121212121212,17.87121212121212
SKAB,CNN,DEEP,fold_0,9.594156539998949,3.5328003230914278,5.992041099991184,14.015165699995123,0.09528084000339732,0.008701888342759083,0.0878182000014931,0.10872839999501593,4465.0,4.898979485566368,4459,4471,10.6,4.159326868617084,6,16,1.0,0.0,1.0,1.0
SKAB,CNN,DEEP,fold_1,9.465856140002142,3.149429870734287,5.4583611999987625,12.96949930000119,0.09162454000324942,0.0022689810429229657,0.08862950000911951,0.09402059999410994,4466.2,6.418722614352435,4461,4475,10.6,3.646916505762094,6,15,1.0,0.0,1.0,1.0
SKAB,CNN,DEEP,fold_2,8.169738780002808,2.090579305780685,6.083770800003549,10.638775900006294,0.09946742000174709,0.005674136843666434,0.09155670000473037,0.10586250000051223,4476.0,0.0,4476,4476,9.2,2.16794833886788,7,12,1.0,0.0,1.0,1.0
SKAB,CNN,DEEP,fold_3,5.614956680004252,0.7693063211341473,5.250084400002379,6.990889200009406,0.09487499999813735,0.004044927851385122,0.08799339999677613,0.09790310001699254,4403.6,8.87693640846892,4396,4416,6.4,0.8944271909999159,6,8,1.0,0.0,1.0,1.0
SKAB,CNN,DEEP,fold_4,8.455189599998993,1.5967865709758857,6.954589900007704,11.033573599997908,0.09282833999604918,0.005396729015175932,0.08645929998601787,0.10062350000953302,4506.2,4.604345773288565,4501,4511,9.8,1.9235384061671346,8,13,1.0,0.0,1.0,1.0
SKAB,GRU,DEEP,fold_0,9.460971119994065,3.029196952476399,7.147589000000153,12.960244099987904,0.09546008000033908,0.0021896839173474597,0.09247890001279302,0.09726039998349734,4465.0,4.898979485566368,4459,4471,7.8,2.4899799195977463,6,11,1.0,0.0,1.0,1.0
SKAB,GRU,DEEP,fold_1,8.591867580002873,1.3312443142309711,7.622302200004924,10.880293700000038,0.10166021999320947,0.009877895922836014,0.09209459999692626,0.114463199977763,4466.2,6.418722614352435,4461,4475,7.0,1.2247448713915892,6,9,1.0,0.0,1.0,1.0
SKAB,GRU,DEEP,fold_2,8.818151480000234,1.4190380433380536,7.0206771999946795,10.362818599998718,0.10685549999470823,0.008445765050801395,0.09786479998729192,0.11720759997842833,4476.0,0.0,4476,4476,7.4,1.3416407864998738,6,9,1.0,0.0,1.0,1.0
SKAB,GRU,DEEP,fold_3,8.099598919990239,1.0049544952016554,7.107972900004825,9.606474100000923,0.11000007999828085,0.006974151533264935,0.10236679998342879,0.11982580000767484,4403.6,8.87693640846892,4396,4416,6.8,0.8366600265340756,6,8,1.0,0.0,1.0,1.0
SKAB,GRU,DEEP,fold_4,7.7510598799970465,0.5158458277624715,7.181047899997793,8.242797299986705,0.1075098800007254,0.00922269715913735,0.09337950000190176,0.11689159998786636,4506.2,4.604345773288565,4501,4511,6.6,0.5477225575051662,6,7,1.0,0.0,1.0,1.0
SKAB,LSTM,DEEP,fold_0,10.268708920001519,2.8758763325219348,7.153943899989827,13.819046899996465,0.10920430000405759,0.009203125155408866,0.09362450000480749,0.11523529997793958,4465.0,4.898979485566368,4459,4471,8.2,2.280350850198276,6,11,1.0,0.0,1.0,1.0
SKAB,LSTM,DEEP,fold_1,12.645564040006139,3.186510986687774,10.054904999997234,17.438441800011788,0.11008013999671676,0.01037515381415241,0.09963620000053197,0.12386619998142123,4466.2,6.418722614352435,4461,4475,10.0,2.5495097567963922,8,14,1.0,0.0,1.0,1.0
SKAB,LSTM,DEEP,fold_2,9.391843359993072,1.6809619541872338,7.558015199989313,11.98545269999886,0.10932499999180437,0.01295418381747764,0.09596559999044985,0.12632579999626614,4476.0,0.0,4476,4476,7.4,1.1401754250991378,6,9,1.0,0.0,1.0,1.0
SKAB,LSTM,DEEP,fold_3,11.01333866000059,3.8234178538659784,8.74583969998639,17.627969900000608,0.10886009999667294,0.012815210829578965,0.09452029998647049,0.12508870000601746,4403.6,8.87693640846892,4396,4416,8.8,3.033150177620621,7,14,1.0,0.0,1.0,1.0
SKAB,LSTM,DEEP,fold_4,10.277553360001184,4.567661251387064,7.066025300009642,17.533249300002353,0.12504778000293298,0.009888342408881545,0.11532280000392348,0.14131190002080984,4506.2,4.604345773288565,4501,4511,8.4,3.577708763999664,6,14,1.0,0.0,1.0,1.0
