dataset,model_a,model_b,statistic,p_value,significant
BATADAL,LSTM,GRU,36.073573573573576,1.900062107651479e-09,True
SKAB,LSTM,GRU,394.2939052169565,0.0,True
BATADAL,LSTM,CNN,13.358892438764643,0.0002572001573223348,True
SKAB,LSTM,CNN,146.8291767938286,0.0,True
BATADAL,LSTM,AUTOMATA,28.016096579476862,1.203105270963789e-07,True
SKAB,LSTM,AUTOMATA,52.62695058517555,4.0334402484631937e-13,True
BATADAL,GRU,CNN,75.68387776606954,0.0,True
SKAB,GRU,CNN,44.7923420779338,2.190780890032329e-11,True
BATADAL,GRU,AUTOMATA,49.3630831643002,2.1270762928793374e-12,True
SKAB,GRU,AUTOMATA,1.043600959503316,0.30698546039221275,False
BATADAL,CNN,AUTOMATA,15.420593368237347,8.604546966073379e-05,True
SKAB,CNN,AUTOMATA,2.8839958430761237,0.08946376555749935,False
