dataset,split,seed,model_a,model_b,test,variant,n_pairs,discordant_pairs,b,c,statistic,p_value
BATADAL,test,7,AUTOMATA,CNN,mcnemar,chi_square_cc,206,113,45,68,4.283185840707965,0.03849113860656661
BATADAL,test,7,AUTOMATA,GRU,mcnemar,chi_square_cc,206,111,63,48,1.7657657657657657,0.18390696814494067
BATADAL,test,7,AUTOMATA,LSTM,mcnemar,chi_square_cc,206,112,50,62,1.0803571428571428,0.29861767444881004
BATADAL,test,7,CNN,GRU,mcnemar,chi_square_cc,821,185,157,28,88.56216216216217,0.0
BATADAL,test,7,CNN,LSTM,mcnemar,chi_square_cc,821,163,112,51,22.085889570552148,2.6071916867653755e-06
BATADAL,test,7,GRU,LSTM,mcnemar,chi_square_cc,821,146,39,107,30.746575342465754,2.9402229650976608e-08
BATADAL,test,42,AUTOMATA,CNN,mcnemar,chi_square_cc,206,113,42,71,6.938053097345133,0.008438090723936642
BATADAL,test,42,AUTOMATA,GRU,mcnemar,chi_square_cc,206,93,38,55,2.752688172043011,0.09709106759647668
BATADAL,test,42,AUTOMATA,LSTM,mcnemar,chi_square_cc,206,116,60,56,0.07758620689655173,0.7805955556973271
BATADAL,test,42,CNN,GRU,mcnemar,chi_square_cc,821,156,102,54,14.16025641025641,0.00016787940191442807
BATADAL,test,42,CNN,LSTM,mcnemar,chi_square_cc,821,273,220,53,100.93772893772893,0.0
BATADAL,test,42,GRU,LSTM,mcnemar,chi_square_cc,821,267,193,74,52.149812734082396,5.142553050063725e-13
BATADAL,test,123,AUTOMATA,CNN,mcnemar,chi_square_cc,206,112,44,68,4.723214285714286,0.029758067435199154
BATADAL,test,123,AUTOMATA,GRU,mcnemar,chi_square_cc,206,108,61,47,1.5648148148148149,0.21096162903586002
BATADAL,test,123,AUTOMATA,LSTM,mcnemar,chi_square_cc,206,102,60,42,2.8333333333333335,0.09232654595631029
BATADAL,test,123,CNN,GRU,mcnemar,chi_square_cc,821,184,163,21,108.04891304347827,0.0
BATADAL,test,123,CNN,LSTM,mcnemar,chi_square_cc,821,206,188,18,138.64563106796118,0.0
BATADAL,test,123,GRU,LSTM,mcnemar,chi_square_cc,821,96,62,34,7.59375,0.00585709908528409
BATADAL,test,999,AUTOMATA,CNN,mcnemar,chi_square_cc,206,113,61,52,0.5663716814159292,0.45170432656693205
BATADAL,test,999,AUTOMATA,GRU,mcnemar,chi_square_cc,206,97,46,51,0.16494845360824742,0.6846408637514222
BATADAL,test,999,AUTOMATA,LSTM,mcnemar,chi_square_cc,206,112,48,64,2.0089285714285716,0.15637572175964043
BATADAL,test,999,CNN,GRU,mcnemar,chi_square_cc,821,171,49,122,30.31578947368421,3.671251846970591e-08
BATADAL,test,999,CNN,LSTM,mcnemar,chi_square_cc,821,162,26,136,73.3395061728395,0.0
BATADAL,test,999,GRU,LSTM,mcnemar,chi_square_cc,821,177,70,107,7.322033898305085,0.006811428372389239
BATADAL,test,2026,AUTOMATA,CNN,mcnemar,chi_square_cc,206,113,50,63,1.2743362831858407,0.25895476965886355
BATADAL,test,2026,AUTOMATA,GRU,mcnemar,chi_square_cc,206,96,34,62,7.59375,0.00585709908528409
BATADAL,test,2026,AUTOMATA,LSTM,mcnemar,chi_square_cc,206,98,37,61,5.3979591836734695,0.02016031205824076
BATADAL,test,2026,CNN,GRU,mcnemar,chi_square_cc,821,159,44,115,30.81761006289308,2.8345388813910688e-08
BATADAL,test,2026,CNN,LSTM,mcnemar,chi_square_cc,821,180,70,110,8.45,0.0036504344044419046
BATADAL,test,2026,GRU,LSTM,mcnemar,chi_square_cc,821,81,56,25,11.11111111111111,0.0008581206663936802
SKAB,fold_0,7,CNN,GRU,mcnemar,chi_square_cc,4467,339,130,209,17.946902654867255,2.271537618392383e-05
SKAB,fold_0,7,CNN,LSTM,mcnemar,chi_square_cc,4467,305,134,171,4.249180327868852,0.03926927962655613
SKAB,fold_0,7,GRU,LSTM,mcnemar,chi_square_cc,4467,184,113,71,9.13586956521739,0.002506463052505681
SKAB,fold_0,42,CNN,GRU,mcnemar,chi_square_cc,4459,203,138,65,25.536945812807883,4.339924020158037e-07
SKAB,fold_0,42,CNN,LSTM,mcnemar,chi_square_cc,4459,215,131,84,9.841860465116278,0.0017058488093304458
SKAB,fold_0,42,GRU,LSTM,mcnemar,chi_square_cc,4459,278,126,152,2.2482014388489207,0.13376980032926133
SKAB,fold_0,123,CNN,GRU,mcnemar,chi_square_cc,4467,332,87,245,74.24397590361446,0.0
SKAB,fold_0,123,CNN,LSTM,mcnemar,chi_square_cc,4467,262,46,216,109.0114503816794,0.0
SKAB,fold_0,123,GRU,LSTM,mcnemar,chi_square_cc,4467,172,80,92,0.7034883720930233,0.40161402737063046
SKAB,fold_0,999,CNN,GRU,mcnemar,chi_square_cc,4471,503,118,385,140.6679920477137,0.0
SKAB,fold_0,999,CNN,LSTM,mcnemar,chi_square_cc,4471,420,82,338,154.82142857142858,0.0
SKAB,fold_0,999,GRU,LSTM,mcnemar,chi_square_cc,4471,301,156,145,0.33222591362126247,0.5643513198181574
SKAB,fold_0,2026,CNN,GRU,mcnemar,chi_square_cc,4461,97,14,83,47.670103092783506,5.0431880893597736e-12
SKAB,fold_0,2026,CNN,LSTM,mcnemar,chi_square_cc,4461,204,112,92,1.7696078431372548,0.18343061898217794
SKAB,fold_0,2026,GRU,LSTM,mcnemar,chi_square_cc,4461,255,172,83,30.36862745098039,3.572596807277506e-08
SKAB,fold_1,7,CNN,GRU,mcnemar,chi_square_cc,4471,747,182,565,195.3467202141901,0.0
SKAB,fold_1,7,CNN,LSTM,mcnemar,chi_square_cc,4471,519,104,415,185.16377649325625,0.0
SKAB,fold_1,7,GRU,LSTM,mcnemar,chi_square_cc,4471,318,195,123,15.852201257861635,6.848682362703418e-05
SKAB,fold_1,42,CNN,GRU,mcnemar,chi_square_cc,4475,369,49,320,197.5609756097561,0.0
SKAB,fold_1,42,CNN,LSTM,mcnemar,chi_square_cc,4475,534,181,353,54.758426966292134,1.3633538742396922e-13
SKAB,fold_1,42,GRU,LSTM,mcnemar,chi_square_cc,4475,399,249,150,24.07017543859649,9.288788861416819e-07
SKAB,fold_1,123,CNN,GRU,mcnemar,chi_square_cc,4463,291,228,63,92.42611683848797,0.0
SKAB,fold_1,123,CNN,LSTM,mcnemar,chi_square_cc,4463,289,95,194,33.2318339100346,8.180036648042233e-09
SKAB,fold_1,123,GRU,LSTM,mcnemar,chi_square_cc,4463,484,110,374,142.9111570247934,0.0
SKAB,fold_1,999,CNN,GRU,mcnemar,chi_square_cc,4461,436,337,99,128.82798165137615,0.0
SKAB,fold_1,999,CNN,LSTM,mcnemar,chi_square_cc,4461,291,228,63,92.42611683848797,0.0
SKAB,fold_1,999,GRU,LSTM,mcnemar,chi_square_cc,4461,447,187,260,11.59731543624161,0.0006604709096480477
SKAB,fold_1,2026,CNN,GRU,mcnemar,chi_square_cc,4461,170,92,78,0.9941176470588236,0.31873806376587877
SKAB,fold_1,2026,CNN,LSTM,mcnemar,chi_square_cc,4461,417,224,193,2.158273381294964,0.14180395366397347
SKAB,fold_1,2026,GRU,LSTM,mcnemar,chi_square_cc,4461,283,150,133,0.9045936395759717,0.3415529664321467
SKAB,fold_2,7,CNN,GRU,mcnemar,chi_square_cc,4476,78,11,67,38.782051282051285,4.738650583036019e-10
SKAB,fold_2,7,CNN,LSTM,mcnemar,chi_square_cc,4476,239,3,236,225.20502092050208,0.0
SKAB,fold_2,7,GRU,LSTM,mcnemar,chi_square_cc,4476,191,7,184,162.17801047120417,0.0
SKAB,fold_2,42,CNN,GRU,mcnemar,chi_square_cc,4476,86,72,14,37.77906976744186,7.922725808739983e-10
SKAB,fold_2,42,CNN,LSTM,mcnemar,chi_square_cc,4476,170,143,27,77.79411764705883,0.0
SKAB,fold_2,42,GRU,LSTM,mcnemar,chi_square_cc,4476,206,132,74,15.771844660194175,7.145803798513928e-05
SKAB,fold_2,123,CNN,GRU,mcnemar,chi_square_cc,4476,241,218,23,156.16597510373444,0.0
SKAB,fold_2,123,CNN,LSTM,mcnemar,chi_square_cc,4476,83,37,46,0.7710843373493976,0.3798818127990695
SKAB,fold_2,123,GRU,LSTM,mcnemar,chi_square_cc,4476,306,51,255,134.66993464052288,0.0
SKAB,fold_2,999,CNN,GRU,mcnemar,chi_square_cc,4476,129,47,82,8.96124031007752,0.0027576761095648994
SKAB,fold_2,999,CNN,LSTM,mcnemar,chi_square_cc,4476,207,194,13,156.52173913043478,0.0
SKAB,fold_2,999,GRU,LSTM,mcnemar,chi_square_cc,4476,270,243,27,171.2037037037037,0.0
SKAB,fold_2,2026,CNN,GRU,mcnemar,chi_square_cc,4476,134,78,56,3.291044776119403,0.06965868452877011
SKAB,fold_2,2026,CNN,LSTM,mcnemar,chi_square_cc,4476,381,323,58,182.9291338582677,0.0
SKAB,fold_2,2026,GRU,LSTM,mcnemar,chi_square_cc,4476,343,293,50,170.7405247813411,0.0
SKAB,fold_3,7,CNN,GRU,mcnemar,chi_square_cc,4398,43,10,33,11.255813953488373,0.0007937400865613009
SKAB,fold_3,7,CNN,LSTM,mcnemar,chi_square_cc,4398,96,26,70,19.260416666666668,1.1404642809798027e-05
SKAB,fold_3,7,GRU,LSTM,mcnemar,chi_square_cc,4398,85,32,53,4.705882352941177,0.030059567892412487
SKAB,fold_3,42,CNN,GRU,mcnemar,chi_square_cc,4396,170,66,104,8.052941176470588,0.004542984032511965
SKAB,fold_3,42,CNN,LSTM,mcnemar,chi_square_cc,4396,56,6,50,33.017857142857146,9.131629452596712e-09
SKAB,fold_3,42,GRU,LSTM,mcnemar,chi_square_cc,4396,126,60,66,0.1984126984126984,0.6560051321908611
SKAB,fold_3,123,CNN,GRU,mcnemar,chi_square_cc,4410,116,70,46,4.560344827586207,0.03272048483157364
SKAB,fold_3,123,CNN,LSTM,mcnemar,chi_square_cc,4410,48,30,18,2.5208333333333335,0.11235119769046409
SKAB,fold_3,123,GRU,LSTM,mcnemar,chi_square_cc,4410,78,33,45,1.5512820512820513,0.21294627515560094
SKAB,fold_3,999,CNN,GRU,mcnemar,chi_square_cc,4398,117,22,95,44.30769230769231,2.8061108992005757e-11
SKAB,fold_3,999,CNN,LSTM,mcnemar,chi_square_cc,4398,148,64,84,2.439189189189189,0.11833737893851226
SKAB,fold_3,999,GRU,LSTM,mcnemar,chi_square_cc,4398,59,56,3,45.83050847457627,1.2894019185694106e-11
SKAB,fold_3,2026,CNN,GRU,mcnemar,chi_square_cc,4416,226,27,199,129.3849557522124,0.0
SKAB,fold_3,2026,CNN,LSTM,mcnemar,chi_square_cc,4416,219,51,168,61.44292237442922,4.551914400963142e-15
SKAB,fold_3,2026,GRU,LSTM,mcnemar,chi_square_cc,4416,67,61,6,43.52238805970149,4.191369473716122e-11
SKAB,fold_4,7,CNN,GRU,mcnemar,chi_square_cc,4505,57,13,44,15.789473684210526,7.079528641296129e-05
SKAB,fold_4,7,CNN,LSTM,mcnemar,chi_square_cc,4505,166,147,19,97.16265060240964,0.0
SKAB,fold_4,7,GRU,LSTM,mcnemar,chi_square_cc,4505,175,167,8,142.65142857142857,0.0
SKAB,fold_4,42,CNN,GRU,mcnemar,chi_square_cc,4511,48,26,22,0.1875,0.6650055421020291
SKAB,fold_4,42,CNN,LSTM,mcnemar,chi_square_cc,4511,142,139,3,128.3450704225352,0.0
SKAB,fold_4,42,GRU,LSTM,mcnemar,chi_square_cc,4511,134,133,1,128.06716417910448,0.0
SKAB,fold_4,123,CNN,GRU,mcnemar,chi_square_cc,4501,69,14,55,23.18840579710145,1.4688021496844783e-06
SKAB,fold_4,123,CNN,LSTM,mcnemar,chi_square_cc,4501,197,185,12,150.17258883248732,0.0
SKAB,fold_4,123,GRU,LSTM,mcnemar,chi_square_cc,4501,214,214,0,212.00467289719626,0.0
SKAB,fold_4,999,CNN,GRU,mcnemar,chi_square_cc,4511,49,2,47,39.51020408163265,3.263496139993549e-10
