metric,model_a,model_b,test,alternative,n_pairs,statistic,p_value,mean_difference,median_difference
accuracy,AUTOMATA,CNN,wilcoxon,two-sided,30,209.0,0.6288248546449478,-0.013852880260732047,0.0005584143698663668
accuracy,AUTOMATA,GRU,wilcoxon,two-sided,30,227.0,0.9099212811319817,-0.0013461476808561412,0.00023939914498471992
accuracy,AUTOMATA,LSTM,wilcoxon,two-sided,30,203.0,0.5438996842108966,0.015456601616545877,0.00021858654929546306
accuracy,CNN,GRU,wilcoxon,two-sided,30,109.0,0.377758613852039,0.012506732579875906,0.0
accuracy,CNN,LSTM,wilcoxon,two-sided,30,85.0,0.10696356713726966,0.029309481877277926,0.0
accuracy,GRU,LSTM,wilcoxon,two-sided,30,105.0,0.3155263919366913,0.016802749297402015,0.0
precision,AUTOMATA,CNN,wilcoxon,two-sided,30,164.0,0.15883346526380315,-0.009963963665962024,0.007269075322156676
precision,AUTOMATA,GRU,wilcoxon,two-sided,30,126.0,0.028469174954686018,-0.008099085344483305,0.019392780007000704
precision,AUTOMATA,LSTM,wilcoxon,two-sided,30,122.0,0.023001924227361057,0.007630948174319659,0.027144283276793135
precision,CNN,GRU,wilcoxon,two-sided,30,114.0,0.4654153212400317,0.0018648783214787186,0.0
precision,CNN,LSTM,wilcoxon,two-sided,30,37.0,0.0021269364671226854,0.01759491184028168,0.0026657365800033597
precision,GRU,LSTM,wilcoxon,two-sided,30,84.0,0.10050558691972779,0.015730033518802963,0.00017045331952444953
recall,AUTOMATA,CNN,wilcoxon,two-sided,30,65.0,0.015148080897183062,0.13415523351749306,0.07888695805170348
recall,AUTOMATA,GRU,wilcoxon,two-sided,30,60.0,0.017648315543293658,0.12853338557950644,0.11233640494481073
recall,AUTOMATA,LSTM,wilcoxon,two-sided,30,83.0,0.055434018125736666,0.1147331409953284,0.020650813516896127
recall,CNN,GRU,wilcoxon,two-sided,30,99.0,0.566276056025333,-0.005621847937986635,-0.004545454545454547
recall,CNN,LSTM,wilcoxon,two-sided,30,101.0,0.614271268095052,-0.01942209252216466,0.0
recall,GRU,LSTM,wilcoxon,two-sided,30,102.0,0.910824985273362,-0.013800244584178032,0.0
f1_score,AUTOMATA,CNN,wilcoxon,two-sided,30,98.0,0.005664630282119239,0.03290052799902605,0.024829578214636272
f1_score,AUTOMATA,GRU,wilcoxon,two-sided,30,84.0,0.002252696071726571,0.023185426492850526,0.04019081390809992
f1_score,AUTOMATA,LSTM,wilcoxon,two-sided,30,85.0,0.0024082890400747873,0.03283036131813278,0.040369041581431425
f1_score,CNN,GRU,wilcoxon,two-sided,30,114.0,0.4654153212400317,-0.009715101506175518,0.0
f1_score,CNN,LSTM,wilcoxon,two-sided,30,112.0,0.429067256009819,-7.016668089327253e-05,0.0
f1_score,GRU,LSTM,wilcoxon,two-sided,30,104.0,0.3010854851057816,0.009644934825282246,0.0
