dataset,family,model,split,scenario,noise_level,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,test_examples_mean,test_examples_std,test_examples_min,test_examples_max,unseen_examples_mean,unseen_examples_std,unseen_examples_min,unseen_examples_max
BATADAL,AUTOMATA,AUTOMATA,test,noise,0.05,0.7310679611650486,0.00946290713088248,0.7184466019417476,0.7427184466019418,0.2205944638155554,0.008273894036932532,0.21153846153846154,0.23404255319148937,0.38571428571428573,0.015971914124998498,0.35714285714285715,0.39285714285714285,0.28054123354123356,0.008723477886835142,0.2702702702702703,0.29333333333333333,206.0,0.0,206,206,8.6,2.1908902300206643,5.0,11.0
BATADAL,AUTOMATA,AUTOMATA,test,noise,0.1,0.729126213592233,0.007200192705918141,0.7184466019417476,0.7378640776699029,0.2116981190255936,0.00791583282434816,0.2,0.22,0.36428571428571427,0.015971914124998488,0.35714285714285715,0.39285714285714285,0.2677112740270635,0.009509492081346875,0.2564102564102564,0.28205128205128205,206.0,0.0,206,206,7.4,1.6733200530681511,5.0,9.0
BATADAL,AUTOMATA,AUTOMATA,test,noise,0.2,0.7300970873786408,0.011175596537108092,0.7135922330097088,0.7427184466019418,0.21276547260960715,0.0066585815630881545,0.20754716981132076,0.2222222222222222,0.36428571428571427,0.015971914124998488,0.35714285714285715,0.39285714285714285,0.26843272015105707,0.00499443249133689,0.2631578947368421,0.273972602739726,206.0,0.0,206,206,7.2,2.04939015319192,5.0,9.0
BATADAL,AUTOMATA,AUTOMATA,test,original,0.0,0.7281553398058253,0.0,0.7281553398058253,0.7281553398058253,0.22000000000000003,0.0,0.22,0.22,0.39285714285714285,0.0,0.39285714285714285,0.39285714285714285,0.28205128205128205,0.0,0.28205128205128205,0.28205128205128205,206.0,0.0,206,206,9.0,0.0,9.0,9.0
BATADAL,DEEP,CNN,test,noise,0.05,0.8660170523751523,0.0,0.8660170523751523,0.8660170523751523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,0.0,821,821,,,,
BATADAL,DEEP,CNN,test,noise,0.1,0.8660170523751523,0.0,0.8660170523751523,0.8660170523751523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,0.0,821,821,,,,
BATADAL,DEEP,CNN,test,noise,0.2,0.8660170523751523,0.0,0.8660170523751523,0.8660170523751523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,0.0,821,821,,,,
BATADAL,DEEP,CNN,test,original,0.0,0.8660170523751523,0.0,0.8660170523751523,0.8660170523751523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,0.0,821,821,,,,
BATADAL,DEEP,GRU,test,noise,0.05,0.8674786845310596,0.0021788725724724237,0.8660170523751523,0.8708891595615104,0.3333333333333333,0.4714045207910317,0.0,1.0,0.01818181818181818,0.03149183286488867,0.0,0.07272727272727272,0.03337236533957846,0.05680363955843171,0.0,0.13114754098360656,821.0,0.0,821,821,,,,
BATADAL,DEEP,GRU,test,noise,0.1,0.8669914738124238,0.001334281504275655,0.8660170523751523,0.8684531059683313,0.3142857142857143,0.45624912636203746,0.0,1.0,0.01818181818181818,0.03149183286488867,0.0,0.07272727272727272,0.03294930875576037,0.05589398243079792,0.0,0.12903225806451613,821.0,0.0,821,821,,,,
BATADAL,DEEP,GRU,test,noise,0.2,0.8662606577344703,0.0013342815042756695,0.8647990255785627,0.8684531059683313,0.29333333333333333,0.4437216344611663,0.0,1.0,0.016363636363636365,0.02757409252382382,0.0,0.06363636363636363,0.02954285714285714,0.04861997573854111,0.0,0.112,821.0,0.0,821,821,,,,
BATADAL,DEEP,GRU,test,original,0.0,0.8674786845310596,0.0021788725724724237,0.8660170523751523,0.8708891595615104,0.3333333333333333,0.4714045207910317,0.0,1.0,0.01818181818181818,0.03149183286488867,0.0,0.07272727272727272,0.03337236533957846,0.05680363955843171,0.0,0.13114754098360656,821.0,0.0,821,821,,,,
BATADAL,DEEP,LSTM,test,noise,0.05,0.8660170523751523,0.0,0.8660170523751523,0.8660170523751523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,0.0,821,821,,,,
BATADAL,DEEP,LSTM,test,noise,0.1,0.8660170523751523,0.0,0.8660170523751523,0.8660170523751523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,0.0,821,821,,,,
BATADAL,DEEP,LSTM,test,noise,0.2,0.8660170523751523,0.0,0.8660170523751523,0.8660170523751523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,0.0,821,821,,,,
