dataset,split,window_size,alphabet_size,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,state_count_mean,state_count_std,state_count_min,state_count_max,transition_count_mean,transition_count_std,transition_count_min,transition_count_max,transition_sources_mean,transition_sources_std,transition_sources_min,transition_sources_max,transition_density_mean,transition_density_std,transition_density_min,transition_density_max,unseen_examples_mean,unseen_examples_std,unseen_examples_min,unseen_examples_max
BATADAL,test,3,3,0.8483754512635379,0.0,0.8483754512635379,0.8483754512635379,0.2916666666666667,0.0,0.2916666666666667,0.2916666666666667,0.21875,0.0,0.21875,0.21875,0.25,0.0,0.25,0.25,26.0,0.0,26,26,71.0,0.0,71,71,26.0,0.0,26,26,0.10502958579881656,0.0,0.10502958579881656,0.10502958579881656,1.0,0.0,1,1
BATADAL,test,3,4,0.7328519855595668,0.0,0.7328519855595668,0.7328519855595668,0.125,0.0,0.125,0.125,0.21875,0.0,0.21875,0.21875,0.1590909090909091,0.0,0.1590909090909091,0.1590909090909091,59.0,0.0,59,59,174.0,0.0,174,174,59.0,0.0,59,59,0.04998563631140477,0.0,0.04998563631140477,0.04998563631140477,3.0,0.0,3,3
BATADAL,test,3,5,0.5992779783393501,0.0,0.5992779783393501,0.5992779783393501,0.11650485436893203,0.0,0.11650485436893204,0.11650485436893204,0.375,0.0,0.375,0.375,0.17777777777777778,0.0,0.17777777777777778,0.17777777777777778,112.0,0.0,112,112,306.0,0.0,306,306,112.0,0.0,112,112,0.024394132653061226,0.0,0.024394132653061226,0.024394132653061226,4.0,0.0,4,4
BATADAL,test,3,6,0.5595667870036101,0.0,0.5595667870036101,0.5595667870036101,0.11206896551724137,0.0,0.11206896551724138,0.11206896551724138,0.40625,0.0,0.40625,0.40625,0.17567567567567569,0.0,0.17567567567567569,0.17567567567567569,178.0,0.0,178,178,465.0,0.0,465,465,178.0,0.0,178,178,0.014676177250347177,0.0,0.014676177250347179,0.014676177250347179,8.0,0.0,8,8
BATADAL,test,4,3,0.7281553398058253,0.0,0.7281553398058253,0.7281553398058253,0.22000000000000003,0.0,0.22,0.22,0.39285714285714285,0.0,0.39285714285714285,0.39285714285714285,0.28205128205128205,0.0,0.28205128205128205,0.28205128205128205,76.0,0.0,76,76,151.0,0.0,151,151,76.0,0.0,76,76,0.02614265927977839,0.0,0.026142659279778394,0.026142659279778394,9.0,0.0,9,9
BATADAL,test,4,4,0.5825242718446602,0.0,0.5825242718446602,0.5825242718446602,0.19791666666666666,0.0,0.19791666666666666,0.19791666666666666,0.6785714285714286,0.0,0.6785714285714286,0.6785714285714286,0.3064516129032258,0.0,0.3064516129032258,0.3064516129032258,175.0,0.0,175,175,292.0,0.0,292,292,175.0,0.0,175,175,0.00953469387755102,0.0,0.00953469387755102,0.00953469387755102,46.0,0.0,46,46
BATADAL,test,4,5,0.43203883495145623,0.0,0.4320388349514563,0.4320388349514563,0.144,0.0,0.144,0.144,0.6428571428571429,0.0,0.6428571428571429,0.6428571428571429,0.23529411764705882,0.0,0.23529411764705882,0.23529411764705882,258.0,0.0,258,258,390.0,0.0,390,390,258.0,0.0,258,258,0.005859022895258698,0.0,0.005859022895258698,0.005859022895258698,87.0,0.0,87,87
BATADAL,test,4,6,0.3592233009708738,0.0,0.3592233009708738,0.3592233009708738,0.15333333333333332,0.0,0.15333333333333332,0.15333333333333332,0.8214285714285714,0.0,0.8214285714285714,0.8214285714285714,0.25842696629213485,0.0,0.25842696629213485,0.25842696629213485,340.0,0.0,340,340,458.0,0.0,458,458,340.0,0.0,340,340,0.003961937716262976,0.0,0.003961937716262976,0.003961937716262976,110.0,0.0,110,110
BATADAL,test,5,3,0.5792682926829268,0.0,0.5792682926829268,0.5792682926829268,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.08,0.0,0.08,0.08,0.0547945205479452,0.0,0.0547945205479452,0.0547945205479452,166.0,0.0,166,166,254.0,0.0,254,254,166.0,0.0,166,166,0.009217593264624764,0.0,0.009217593264624764,0.009217593264624764,22.0,0.0,22,22
BATADAL,test,5,4,0.5060975609756098,0.0,0.5060975609756098,0.5060975609756098,0.18888888888888888,0.0,0.18888888888888888,0.18888888888888888,0.68,0.0,0.68,0.68,0.2956521739130435,0.0,0.2956521739130435,0.2956521739130435,298.0,0.0,298,298,375.0,0.0,375,375,298.0,0.0,298,298,0.004222782757533444,0.0,0.004222782757533444,0.004222782757533444,56.0,0.0,56,56
BATADAL,test,5,5,0.25,0.0,0.25,0.25,0.15,0.0,0.15,0.15,0.8400000000000001,0.0,0.84,0.84,0.2545454545454545,0.0,0.2545454545454545,0.2545454545454545,368.0,0.0,368,368,426.0,0.0,426,426,367.0,0.0,367,367,0.003145675803402646,0.0,0.0031456758034026466,0.0031456758034026466,131.0,0.0,131,131
BATADAL,test,5,6,0.21951219512195125,0.0,0.21951219512195122,0.21951219512195122,0.15894039735099338,0.0,0.15894039735099338,0.15894039735099338,0.96,0.0,0.96,0.96,0.2727272727272727,0.0,0.2727272727272727,0.2727272727272727,421.0,0.0,421,421,459.0,0.0,459,459,421.0,0.0,421,421,0.0025896942581005522,0.0,0.0025896942581005522,0.0025896942581005522,143.0,0.0,143,143
BATADAL,test,6,3,0.5111111111111111,0.0,0.5111111111111111,0.5111111111111111,0.25301204819277107,0.0,0.25301204819277107,0.25301204819277107,0.8400000000000001,0.0,0.84,0.84,0.3888888888888889,0.0,0.3888888888888889,0.3888888888888889,206.0,0.0,206,206,267.0,0.0,267,267,206.0,0.0,206,206,0.006291827693467809,0.0,0.00629182769346781,0.00629182769346781,66.0,0.0,66,66
BATADAL,test,6,4,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,0.19672131147540983,0.0,0.19672131147540983,0.19672131147540983,0.96,0.0,0.96,0.96,0.32653061224489793,0.0,0.32653061224489793,0.32653061224489793,304.0,0.0,304,304,353.0,0.0,353,353,304.0,0.0,304,304,0.0038196849030470914,0.0,0.0038196849030470914,0.0038196849030470914,109.0,0.0,109,109
BATADAL,test,6,5,0.22222222222222224,0.0,0.2222222222222222,0.2222222222222222,0.19230769230769232,0.0,0.19230769230769232,0.19230769230769232,1.0,0.0,1.0,1.0,0.3225806451612903,0.0,0.3225806451612903,0.3225806451612903,342.0,0.0,342,342,374.0,0.0,374,374,341.0,0.0,341,341,0.003197565062754352,0.0,0.003197565062754352,0.003197565062754352,129.0,0.0,129,129
BATADAL,test,6,6,0.21481481481481485,0.0,0.21481481481481482,0.21481481481481482,0.19083969465648856,0.0,0.19083969465648856,0.19083969465648856,1.0,0.0,1.0,1.0,0.32051282051282054,0.0,0.32051282051282054,0.32051282051282054,378.0,0.0,378,378,395.0,0.0,395,395,377.0,0.0,377,377,0.002764480277707791,0.0,0.002764480277707791,0.002764480277707791,131.0,0.0,131,131
SKAB,fold_0,3,3,0.6208903080634143,0.005073869910965935,0.6143048128342246,0.6268357810413885,0.2128955296363118,0.06980810609796925,0.125,0.2826086956521739,0.03640520693034061,0.019897940373117227,0.011472275334608031,0.05950095969289827,0.06172978974061327,0.0319812803870615,0.021015761821366025,0.09702660406885759,20.6,0.5477225575051664,20,21,40.8,0.8366600265340757,40,42,20.6,0.5477225575051664,20,21,0.09623582766439909,0.0035587183397014694,0.09297052154195011,0.1,2.2,2.2803508501982757,0,5
SKAB,fold_0,3,4,0.6192925486743459,0.014646666104550031,0.5981308411214953,0.6347826086956522,0.2471795118372832,0.05049715357683805,0.2033898305084746,0.3333333333333333,0.04367244929041445,0.014821519419372457,0.022944550669216062,0.05927342256214149,0.07329563767895947,0.02193327944164354,0.041237113402061855,0.09337349397590361,34.2,2.9495762407505253,32,39,70.8,6.418722614352484,66,82,34.2,2.9495762407505253,32,39,0.060871348021151336,0.0052026119380826985,0.05391190006574622,0.06640625,4.4,2.073644135332772,2,7
SKAB,fold_0,3,5,0.6130054580132562,0.010471647445336733,0.6006688963210702,0.6250833889259506,0.1966445443320215,0.07692672437530337,0.11290322580645161,0.3069306930693069,0.03752601079700385,0.018156002790129334,0.01338432122370937,0.05927342256214149,0.06276776182802961,0.02953999911089394,0.023931623931623933,0.09935897435897435,49.8,2.7748873851023217,47,54,107.4,8.905054744357273,101,123,49.8,2.7748873851023217,47,54,0.043338870703379224,0.002069880003332879,0.040753556324490584,0.045722046174739704,7.8,4.266145801540309,4,14
SKAB,fold_0,3,6,0.6122052852381586,0.01322334240463757,0.6021361815754339,0.6324216144096064,0.24180924156675862,0.06454699182028746,0.1553398058252427,0.32926829268292684,0.050560218435645524,0.012089708918280944,0.030592734225621414,0.06309751434034416,0.08320406271470818,0.018855350298553984,0.051118210862619806,0.09969788519637462,69.2,8.87130204648675,60,81,155.4,24.90582261239327,132,195,69.2,8.87130204648675,60,81,0.032726546785333245,0.0037091478750639812,0.0282202216066482,0.03666666666666667,16.6,5.128352561983234,8,21
SKAB,fold_0,4,3,0.6179787120061333,0.005281512666903229,0.6122994652406417,0.6256684491978609,0.21215700267618195,0.04651353401110152,0.14,0.2631578947368421,0.028090408181257166,0.00980089321790779,0.017543859649122806,0.03768844221105527,0.049457311624734115,0.01652667228286274,0.031180400890868598,0.06593406593406594,38.0,2.73861278752583,36,41,72.8,3.8987177379235867,69,77,38.0,2.73861278752583,36,41,0.0507298345341177,0.004527757281044666,0.04580606781677573,0.05478395061728395,4.0,2.6457513110645907,1,8
SKAB,fold_0,4,4,0.6110225436001325,0.007679417633421281,0.5989304812834224,0.6178571428571429,0.24387443877853374,0.02487591594792175,0.2112676056338028,0.2714285714285714,0.044124249064873236,0.006472765504395023,0.03768844221105527,0.05263157894736842,0.0745216125357843,0.009436631270953438,0.06396588486140725,0.08536585365853659,62.6,4.722287581247037,57,68,119.8,5.495452665613635,111,126,62.6,4.722287581247037,57,68,0.03083995642586005,0.003420169973888684,0.026384083044982697,0.034164358264081256,9.2,5.215361924162119,3,17
SKAB,fold_0,4,5,0.6076298494383587,0.010787531670527378,0.5989304812834224,0.6233303650934996,0.26254609537728857,0.04897438755224401,0.2,0.31746031746031744,0.05567196886689084,0.010870773486251218,0.042606516290726815,0.07017543859649122,0.09149379239988262,0.016317869577462226,0.07024793388429752,0.11155378486055777,93.8,7.395944834840238,87,106,178.8,13.881642554107206,166,202,93.8,7.395944834840238,87,106,0.02042066215742469,0.001547292716371181,0.017977928088287645,0.021931562954155107,19.0,3.2403703492039297,15,24
SKAB,fold_0,4,6,0.5963973487881351,0.010127642989287701,0.5855614973262032,0.6073018699910953,0.17391248643998053,0.05912104564050323,0.0875,0.23684210526315788,0.03711044571227062,0.01861930920471014,0.017543859649122806,0.06766917293233082,0.06075751037233392,0.027974975690953797,0.029227557411273485,0.10526315789473684,138.0,15.132745950421555,121,159,266.2,27.344103569142657,237,305,138.0,15.132745950421555,121,159,0.01413280414050242,0.0016684211208188701,0.012064396186859698,0.016187418892152177,26.0,5.291502622129181,19,33
SKAB,fold_0,5,3,0.607185858617104,0.009755155202993745,0.5970982142857143,0.6194196428571429,0.1485146909827761,0.026411283339825568,0.10638297872340426,0.17647058823529413,0.017246033826810923,0.004643396344781225,0.012345679012345678,0.024615384615384615,0.030723698405352728,0.007583559694485676,0.022922636103151862,0.0425531914893617,70.8,1.3038404810405295,69,72,125.8,5.540758070878027,119,132,70.8,1.3038404810405295,69,72,0.025089004954649642,0.0005702108874647731,0.024285714285714285,0.025590160682404287,6.8,3.7013511046643495,4,13
SKAB,fold_0,5,4,0.6040706036703878,0.020378530318657453,0.5770089285714286,0.6252796420581656,0.2574054488121119,0.08900547137700902,0.14754098360655737,0.3611111111111111,0.04189759903052336,0.011040703679514626,0.027777777777777776,0.05864197530864197,0.07095450620884351,0.01600649481085841,0.046753246753246755,0.09112709832134293,115.0,8.154753215150045,104,123,199.0,16.109003693587013,181,216,115.0,8.154753215150045,104,123,0.015096457782420112,0.0010300660727536005,0.014277215942891136,0.0167344674556213,13.8,11.256109452204166,1,32
SKAB,fold_0,5,5,0.5828497658047492,0.02388321034372722,0.5491071428571429,0.6086956521739131,0.21930885723831467,0.06560480685892964,0.12264150943396226,0.3037974683544304,0.0554683143108501,0.01759967395817837,0.03374233128834356,0.07384615384615385,0.08761680727200608,0.026879273849131673,0.058981233243967826,0.1188118811881188,170.6,8.988882021697695,160,180,288.4,16.697305171793445,265,308,170.6,8.988882021697695,160,180,0.009929126369066996,0.000530209343010469,0.009458935950413224,0.010631001371742112,36.2,15.896540504147437,20,55
SKAB,fold_0,5,6,0.5725664223484641,0.019628574892434324,0.5535714285714286,0.6031215161649944,0.19367808897929378,0.05402365733840799,0.10843373493975904,0.25,0.05731071609599216,0.026620265668591842,0.027777777777777776,0.09876543209876543,0.0869720765299279,0.03418460556759075,0.044226044226044224,0.13793103448275862,228.4,21.04281350010022,199,253,388.0,34.8425027803687,344,434,228.4,21.04281350010022,199,253,0.007495625784841836,0.0007679625616009334,0.006780296520801762,0.008686649327037195,48.4,25.065913109240604,20,89
SKAB,fold_0,6,3,0.5896850673704466,0.005715727265037875,0.5833333333333334,0.5978552278820375,0.18124305221985865,0.05466021772204842,0.10526315789473684,0.23728813559322035,0.028689306619220756,0.013638221461573357,0.014336917562724014,0.05017921146953405,0.04930848684219202,0.02187979402199303,0.025236593059936908,0.08284023668639054,122.8,6.220932405998316,116,131,199.2,14.20211251891774,181,214,122.8,6.220932405998316,116,131,0.013219913861734553,0.0005897374244428364,0.012470135772973604,0.013971462544589775,14.6,7.536577472566709,7,27
