dataset,model_a,model_b,n_pairs,mean_difference,median_difference,statistic,p_value,significant
SKAB,LSTM,GRU,5,0.013607879387821242,0.006148932126121998,2.0,0.1875,False
SKAB,LSTM,CNN,5,0.005351982291145041,-0.010772639682988472,6.0,0.8125,False
SKAB,LSTM,AUTOMATA,5,-0.3197349399257502,-0.3166103733185548,0.0,0.0625,False
SKAB,GRU,CNN,5,-0.008255897096676202,-0.010011705559826223,3.0,0.3125,False
SKAB,GRU,AUTOMATA,5,-0.3333428193135714,-0.3371594197746941,0.0,0.0625,False
SKAB,CNN,AUTOMATA,5,-0.3250869222168952,-0.32023784796558363,0.0,0.0625,False
BATADAL,LSTM,GRU,5,0.07946216190019444,0.0951571652503919,0.0,0.0625,False
BATADAL,LSTM,CNN,5,0.054458282145121564,0.06331517944421179,0.0,0.0625,False
BATADAL,LSTM,AUTOMATA,5,0.19677937209151564,0.2105567815925618,0.0,0.0625,False
BATADAL,GRU,CNN,5,-0.025003879755072882,-0.024362692007593,0.0,0.0625,False
BATADAL,GRU,AUTOMATA,5,0.11731721019132117,0.111098907133835,0.0,0.0625,False
BATADAL,CNN,AUTOMATA,5,0.14232108994639409,0.14300584911271938,0.0,0.0625,False
