dataset,model,split,seed,metric,beta,best_threshold,min_threshold,best_score,best_val_f1,best_val_precision,best_val_recall
SKAB,LSTM,fold_0,42,f1,2.0,0.22,0.1,0.6804046459348071,0.6804046459348071,0.908908908908909,0.5437125748502994
SKAB,GRU,fold_0,42,f1,2.0,0.42,0.1,0.803105151729005,0.803105151729005,0.9776632302405498,0.681437125748503
SKAB,CNN,fold_0,42,f1,2.0,0.27,0.1,0.786493860845839,0.786493860845839,0.9136291600633915,0.6904191616766467
SKAB,LSTM,fold_1,42,f1,2.0,0.27,0.1,0.8909574468085106,0.8909574468085106,0.995049504950495,0.8065810593900482
SKAB,GRU,fold_1,42,f1,2.0,0.36,0.1,0.8921438082556591,0.8921438082556591,0.9980139026812314,0.8065810593900482
SKAB,CNN,fold_1,42,f1,2.0,0.3,0.1,0.8879082082965578,0.8879082082965578,0.9862745098039216,0.8073836276083467
SKAB,LSTM,fold_2,42,f1,2.0,0.18,0.1,0.9040307101727447,0.9040307101727447,0.966484268125855,0.8491586538461539
SKAB,GRU,fold_2,42,f1,2.0,0.23,0.1,0.9055246812683884,0.9055246812683884,0.992831541218638,0.8323317307692307
SKAB,CNN,fold_2,42,f1,2.0,0.26,0.1,0.9075575737917613,0.9075575737917613,0.9859055673009162,0.8407451923076923
SKAB,LSTM,fold_3,42,f1,2.0,0.75,0.1,0.8648289604782464,0.8648289604782464,0.9637305699481865,0.7843373493975904
SKAB,GRU,fold_3,42,f1,2.0,0.42,0.1,0.8816455696202532,0.8816455696202532,0.9286666666666666,0.8391566265060241
SKAB,CNN,fold_3,42,f1,2.0,0.61,0.1,0.8554216867469879,0.8554216867469879,0.9623493975903614,0.7698795180722892
SKAB,LSTM,fold_4,42,f1,2.0,0.42,0.1,0.8666309587573647,0.8666309587573647,0.9865853658536585,0.772683858643744
SKAB,GRU,fold_4,42,f1,2.0,0.78,0.1,0.8755296610169492,0.8755296610169492,0.9827586206896551,0.7893982808022922
SKAB,CNN,fold_4,42,f1,2.0,0.46,0.1,0.8766833905466068,0.8766833905466068,0.980507974010632,0.792741165234002
SKAB,LSTM,fold_0,123,f1,2.0,0.22,0.1,0.8957133717210493,0.8957133717210493,1.0,0.8111239860950173
SKAB,GRU,fold_0,123,f1,2.0,0.72,0.1,0.8930737312480052,0.8930737312480052,0.994314143567875,0.8105446118192352
SKAB,CNN,fold_0,123,f1,2.0,0.35,0.1,0.8916040100250626,0.8916040100250626,0.970668485675307,0.8244495944380069
SKAB,LSTM,fold_1,123,f1,2.0,0.18,0.1,0.8822269807280514,0.8822269807280514,0.9970958373668926,0.7910906298003072
SKAB,GRU,fold_1,123,f1,2.0,0.19,0.1,0.8830730265934994,0.8830730265934994,0.9803186504217432,0.8033794162826421
SKAB,CNN,fold_1,123,f1,2.0,0.39,0.1,0.8733246865542585,0.8733246865542585,0.9990108803165183,0.7757296466973886
SKAB,LSTM,fold_2,123,f1,2.0,0.54,0.1,0.8850353243416827,0.8850353243416827,0.9562803608605135,0.8236700537955768
SKAB,GRU,fold_2,123,f1,2.0,0.2,0.1,0.9181585677749361,0.9181585677749361,0.9869415807560138,0.85833831440526
SKAB,CNN,fold_2,123,f1,2.0,0.29,0.1,0.8999034438364982,0.8999034438364982,0.9748953974895398,0.8356246264196056
SKAB,LSTM,fold_3,123,f1,2.0,0.99,0.1,0.86578073089701,0.86578073089701,0.9651851851851851,0.7849397590361445
SKAB,GRU,fold_3,123,f1,2.0,0.99,0.1,0.8616677440206852,0.8616677440206852,0.9295676429567643,0.803012048192771
SKAB,CNN,fold_3,123,f1,2.0,0.56,0.1,0.8630456514495168,0.8630456514495168,0.9656972408650261,0.7801204819277109
SKAB,LSTM,fold_4,123,f1,2.0,0.96,0.1,0.8982712765957447,0.8982712765957447,1.0,0.8153289076644539
SKAB,GRU,fold_4,123,f1,2.0,0.79,0.1,0.8993772533595542,0.8993772533595542,0.9842180774748924,0.828002414001207
