dataset,split,seed,original_pattern,mapped_pattern,levenshtein_distance,prediction,true_label,is_correct
SKAB,fold_0,42,abbc,abba,1,anomaly,0,0
SKAB,fold_1,42,ccba,ccaa,1,normal,0,1
SKAB,fold_1,42,cbaa,abaa,1,normal,0,1
SKAB,fold_3,42,cbba,abba,1,anomaly,0,0
SKAB,fold_3,42,abbc,aabc,1,anomaly,0,0
SKAB,fold_4,42,aaac,aaaa,1,anomaly,0,0
SKAB,fold_4,42,aacc,abcc,1,anomaly,0,0
SKAB,fold_4,42,accc,abcc,1,anomaly,0,0
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,0,0
SKAB,fold_4,42,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,cbbc,bbbc,1,anomaly,0,0
SKAB,fold_4,42,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,0,0
SKAB,fold_4,42,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,0,0
SKAB,fold_4,42,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,bccb,bbcb,1,anomaly,0,0
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,0,0
SKAB,fold_4,42,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,1,1
SKAB,fold_4,42,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,1,1
SKAB,fold_4,42,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,1,1
SKAB,fold_4,42,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,1,1
SKAB,fold_4,42,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,1,1
SKAB,fold_4,42,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,0,0
SKAB,fold_4,42,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,0,0
SKAB,fold_4,42,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,cbbc,bbbc,1,anomaly,0,0
SKAB,fold_4,42,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,0,0
SKAB,fold_4,42,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,bccb,bbcb,1,anomaly,0,0
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,0,0
SKAB,fold_4,42,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,bccb,bbcb,1,anomaly,0,0
SKAB,fold_4,42,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,bccb,bbcb,1,anomaly,0,0
SKAB,fold_4,42,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,cbbc,bbbc,1,anomaly,0,0
SKAB,fold_4,42,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,1,1
SKAB,fold_4,42,bbcc,abcc,1,anomaly,1,1
SKAB,fold_4,42,ccba,cbba,1,anomaly,1,1
SKAB,fold_4,42,cbab,abab,1,anomaly,1,1
SKAB,fold_4,42,cbbc,bbbc,1,anomaly,1,1
SKAB,fold_4,42,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,1,1
SKAB,fold_4,42,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,42,bccb,bbcb,1,anomaly,1,1
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,1,1
SKAB,fold_4,42,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,42,bccb,bbcb,1,anomaly,1,1
SKAB,fold_4,42,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,42,bbcc,abcc,1,anomaly,1,1
SKAB,fold_4,42,bbcc,abcc,1,anomaly,1,1
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,1,1
SKAB,fold_4,42,bbcc,abcc,1,anomaly,1,1
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,1,1
SKAB,fold_4,42,cbbc,bbbc,1,anomaly,0,0
SKAB,fold_4,42,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,bccb,bbcb,1,anomaly,0,0
SKAB,fold_4,42,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,bccb,bbcb,1,anomaly,0,0
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,0,0
SKAB,fold_4,42,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,bccb,bbcb,1,anomaly,0,0
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,0,0
SKAB,fold_4,42,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,ccbc,bcbc,1,anomaly,0,0
SKAB,fold_4,42,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,cbbc,bbbc,1,anomaly,0,0
SKAB,fold_4,42,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,bccb,bbcb,1,anomaly,0,0
SKAB,fold_4,42,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,cbbc,bbbc,1,anomaly,0,0
SKAB,fold_4,42,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,42,ccba,cbba,1,anomaly,0,0
SKAB,fold_4,42,cbaa,abaa,1,anomaly,0,0
